Вобласьць	Раён	Код	OSM:NodeID	Тып	Па-расейску старое	Па-расейску правільнае	osm:name:ru force	Па-беларуску правільнае	lat	lon	comment
Брест	Барановичский	137129	2060086365	ст	Боровцы	Боровцы		Бараўцы	53.106945	25.938889	
Брест	Барановичский	134506	306069221	ст	Грицевец	Грицевец		Грыцавец	53.039722	25.863611	
Брест	Барановичский	137063	2789832812	оп	Детковичи	Детковичи		Дзеткавічы	53.120834	25.694723	
Брест	Барановичский	138422	306069237	ст	Домашевичи	Домашевичи		Дамашэвічы	53.192223	25.933056	
Брест	Барановичский	138456	2767104514	оп	Железница	Железница (Барановичск.)	Железница	Жалезніца	53.252777	25.843056	
Брест	Барановичский	138418	306069219	оп	Замошье	Замошье (Барановичск.)	Замошье	Замошша	53.21528	25.88889	
Брест	Барановичский	137059	306069169	оп	Ивная	Ивная		Іўная	53.105556	25.589167	
Брест	Барановичский	138441	2767104516	оп	Козлякевичи	Козлякевичи		Казлякевічы	53.166668	25.943333	
Брест	Барановичский	138511		оп	Крошино	Крошин		Крошын	53.185276	26.13	
Брест	Барановичский	134402	890100987	ст	Лесная	Лесная		Лясная	52.980556	25.769444	
Брест	Барановичский	138314	306069184	ст	Мицкевичи	Мицкевичи		Міцкевічы	53.297222	25.752777	
Брест	Барановичский	138244	2767104517	оп	Молчадь	Молчадь		Моўчадзь	53.315277	25.715834	
Брест	Барановичский	138403	306069225	ст	Мордичи	Мордичи		Мордзічы	53.2675	25.819445	
Брест	Барановичский	138530		оп	Победа	Победа		Пабеда	53.19611	26.158056	
Брест	Барановичский	137101	306069178	ст	Полонка	Полонка		Палонка	53.121666	25.727777	
Брест	Барановичский	138526	0	оп	Пост 1	Пост №1		Пост №1	53.175278	26.105556	
Брест	Барановичский	137148	1462397040	оп	Приозёрный	Приозерный		Прыазёрны	53.1125	25.86389	
Брест	Барановичский	138916	306069418	ст	Русино	Русино		Русіно	53.086113	26.096945	
Брест	Барановичский	137114	1464382030	оп	Севрюки	Севрюки		Сеўрукі	53.115833	25.827778	
Брест	Барановичский	138545	306069437	оп	Юшкевичи	Юшкевичи		Юшкавічы	53.206112	26.23639	
Брест	Берёзовский	133804	306068966	ст	Белоозёрск	Белоозерск		Белаазёрск	52.466667	25.188889	
Брест	Берёзовский	134116	1350285286	оп	Берёза-Город	Берёза-Город		Бяроза-Горад	52.54861	24.975277	
Брест	Берёзовский	133700	2474063767	ст	Берёза-Картузская	Берёза-Картузская		Бяроза Картузская	53.532776	24.900833	
Брест	Берёзовский	134008	306068964	ст	Бронная Гора	Бронная Гора		Бронная Гара	52.60611	25.094444	
Брест	Берёзовский	134243	2315175258	оп	Войтешин	Войтешин		Вайцяшын	52.513054	25.156944	
Брест	Берёзовский	133729	2741737671	оп	Кабаки	Кабаки		Кабакі	52.51389	24.769722	
Брест	Берёзовский	133626	2741737676	оп	Павловичи	Павловичи		Паўлавічы	52.50722	24.687778	
Брест	Берёзовский	134239	2315175262	оп	Речица	Речица (Брестск.)	Речица	Рэчыца	52.56222	25.126389	
Брест	Брестский	130825	812713802	оп	Берёзовая Роща	Берёзовая Роща		Бярозавы Гай	52.043056	23.780277	
Брест	Брестский	132534	2084838678	оп	Боровая	Боровая		Баравая	51.956944	23.897223	
Брест	Брестский	130399	306062471	оп	Верасы	Верасы		Верасы	52.003056	23.715279	
Брест	Брестский	132407	306064401	ст	Влодава	Влодава		Уладава	51.55	23.614445	
Брест	Брестский	132229	1409175502	оп	Дачное	Дачное (Брестск.)	Дачное	Дачнае	52.179443	23.597221	
Брест	Брестский	132337	306064445	оп	Домачево	Домачево Город		Дамачава Горад	51.731945	23.625	
Брест	Брестский	132303	306064419	ст	Дубица	Дубица		Дубіца	51.805557	23.645834	
Брест	Брестский	132549	2084838682	оп	Дубок	Дубок		Дубок	51.986946	23.851944	
Брест	Брестский	132553	2084838684	оп	Жемчужина	Жемчужина		Жамчужына	51.995556	23.838612	
Брест	Брестский	130416	2305812433	оп	Заказанка	Заказанка		Заказанка	51.964443	23.683332	
Брест	Брестский	132267	2742445870	оп	Западное	Западное		Заходняе	52.229168	23.541666	
Брест	Брестский	132318	306064447	оп	Збунин	Збунин		Збунін	51.841667	23.63611	
Брест	Брестский	130384	306064450	оп	Знаменка	Знаменка		Знаменка	51.880554	23.641388	
Брест	Брестский	130914	2084823993	оп	Каменная	Каменная		Каменная	52.00611	23.8225	
Брест	Брестский	132394	2305812452	оп	Кобелка	Кобёлка	Кобелки	Кабёлка	51.744446	23.63889	
Брест	Брестский	130375	306064421	оп	Кодень	Кодень		Кодзень	51.924446	23.654167	
Брест	Брестский	132380	306064399	оп	Комаровка	Комаровка		Камароўка	51.578056	23.609444	
Брест	Брестский	130242	2741737673	оп	Кошелево	Кошелево		Кошалева	52.130554	23.8125	
Брест	Брестский	132322	306064452	оп	Леплёвка	Леплёвка		Ляплёўка	51.765	23.647778	
Брест	Брестский	132341	2338416157	оп	Липенки	Липенки	Липинки	Ліпінкі	51.699165	23.6	
Брест	Брестский	132204	306064417	ст	Лыщицы	Лыщицы		Лышчыцы	52.25778	23.49639	
Брест	Брестский	131739	306064406	оп	Люта	Люта		Люта	52.28389	23.455555	
Брест	Брестский	130346	2742182029	оп	Митьки	Митьки		Міцькі	52.02722	23.714445	
Брест	Брестский	130401	306064466	ст	Мотыкалы				52.20778	23.584723	alex73: зьмяніў код 130420->130401 бо няма http://www.rw.by/schedule/suburban/?stid=130420
Брест	Брестский	132233	2742445871	оп	Мотыкалы Большие	Мотыкалы Большие		Матыкалы Вялікія	52.194443	23.595833	
Брест	Брестский	130810	306069072	оп	Посёлок Мухавец	Мухавец		Мухавец	52.02778	23.794445	
Брест	Брестский	132360	306064437	оп	Приборово	Приборово		Прыбарава	51.62472	23.59389	
Брест	Брестский	132248	306064177	оп	Прибужье	Прибужье		Прыбужжа	52.157776	23.616945	
Брест	Брестский	130350	271029642	оп	Прилуки	Прилуки		Прылукі	51.98611	23.70111	
Брест	Брестский	132375	306064440	оп	Селяхи	Селяхи		Селяхі	53.608334	21.6	
Брест	Брестский	130365	306064423	оп	Страдичи	Страдичи		Страдзеч	51.941666	23.664722	
Брест	Брестский	130219	2305838959	оп	Харитоны	Харитоны		Харытоны	52.147778	23.869444	
Брест	Брестский	132356	306064438	оп	Харсы	Харсы		Харсы	51.65972	23.591667	
