ID	City	Area	Street	Name	Info	Lng	Lat	Stops	StopNum	Pikas2012.11.19	osm:NodeID	osm:name:ru
204367	0	0	0	С-з "Рассвет		27.65938	53.81442	16161,205301	s204367			Совхоз Рассвет
133298	0	0	0	1 АП		0	0		s133298			1 АП
16084	0	0	подъезд ко 2-м воротам	1-е ворота		27.53561	53.98515	16090,111275	s16084			1-е ворота
16090	0	0	подъезд к Городку	1-е ворота		27.53597	53.98505	16084,16091	s16090			1-е ворота
16091	0	0		1-е ворота		27.53697	53.98456	16090,16093	s16091			1-е ворота
16138	0	0	Н-9067 Сухорукие - Кладбище - Колодищи	1-е ворота		27.8363	53.91027	16139,16136	s16138			1-е ворота
16139	0	0		1-е ворота		27.83582	53.91124	16138,16140	s16139			1-е ворота
15506	0	0	ул. Уборевича	10-я больница		27.65313	53.8392	15523,15513	s15506		1348898941	10-я больница
15523	0	0		10-я больница		27.65288	53.8381	15506,16014,15524	s15523		767183443	10-я больница
16014	0	0	МКАД	10-я больница		27.65581	53.83691	16182,15523	s16014		767184007	10-я больница
16182	0	0		10-я больница		27.65606	53.83672	16014	s16182		767183836	10-я больница
16100	0	0	0	13-й км		27.50898	53.98767	16101,16099	s16100			13-й км
16101	0	0	0	13-й км		27.50636	53.98799	16100,16102	s16101			13-й км
16044	0	0	Могилёвское шоссе	14-й км		27.73409	53.83408	16045,16109	s16044		767183810	14-й км
16045	0	0		14-й км		27.73399	53.83443	16044,16074	s16045		767183673	14-й км
151184	0	0	0	2 - ой Прилукский пер. (временная)		27.48697	53.88193	54197,15214	s151184			2-й Прилукский переулок
133297	0	0	0	2 АП		0	0		s133297			2 АП
133303	0	0	0	2 ТП		0	0		s133303			2 ТП
16093	0	0	Н-9031 Колодищи-Заславль	2-е ворота		27.55544	53.98348	16095,16091	s16093			2-е ворота
16094	0	0	0	2-е ворота		27.55694	53.98317	16096,16079	s16094			2-е ворота
16096	0	0		2-е ворота		27.5568	53.98363	16095,16094	s16096			2-е ворота
16136	0	0	0	2-е ворота		27.84015	53.90678	16137,16138	s16136			2-е ворота
16137	0	0	0	2-е ворота		27.84067	53.90641	16136	s16137			2-е ворота
14536	0	0	ул. Тимирязева	2-е кольцо		27.50826	53.92608	14566,54537	s14536			2-е кольцо
14538	0	0		2-е кольцо		27.50361	53.92793	14537,15235	s14538			2-е кольцо
14566	0	0		2-е кольцо		27.50857	53.92537	14536,14841,14534	s14566		767088627	2-е кольцо
54519	0	0	ул. Орловская	2-е кольцо		27.50816	53.92776	54537,15856	s54519		767084954	2-е кольцо
54537	0	0		2-е кольцо		27.50679	53.92746	54519,14536,14537	s54537			2-е кольцо
15301	0	0	0	2-й Летний пер.		27.68248	53.87541	15339,15342,15321	s15301		342077492	2-й Летний переулок
15339	0	0	0	2-й Летний пер.		27.68236	53.87467	15301,15300	s15339		767184136	2-й Летний переулок
15210	0	0	пр. Дзержинского	2-й пер. Р. Люксембург		27.52826	53.89312	15211,15936,15209	s15210		320719495	2-й переулок Розы Люксембург
15211	0	0	ул. Немига	2-й пер. Р. Люксембург		27.52922	53.89307	15210	s15211		320719493	2-й переулок Розы Люксембург
15936	0	0		2-й пер. Р. Люксембург		27.52852	53.89456	15210,15932,15568	s15936		767085191	2-й переулок Розы Люксембург
14545	0	0	ул. Крупской	2-й Юношеский пер.		27.62273	53.86143	14546,15804	s14545		2454419797	2-й Юношеский пер.
14546	0	0		2-й Юношеский пер.		27.62315	53.86159	14545,14544,15770	s14546		767183629	2-й Юношеский пер.
