RouteNum;Authority;City;Transport;Operator;ValidityPeriods;SpecialDates;RouteTag;RouteType;Commercial;RouteName;Weekdays;RouteID;Entry;RouteStops;Pikas2012.11.19;Datestart
д;minsk;minsk;bus;7 АП;16444,;0;;A>B;A;Малышок (Уручье-2);12345;148932;;14386,14384,14382,14648,14646,14644,14642,14376,14373,14371,14370,14368,69144;;d1-d5 - 09.01.2015
;;;;;;;;B>A;A;Малышок уручье-2;12345;148933;;69144,14367,14370,14371,14374,14375,14377,14641,14643,14645,14647,14381,14383,14385,14386;;
;;;;;;;0.47;B1>D;A;малышок Великий Лес;12345;148931;;69144,14384,14382,14648,14646,14645,14642,14376,14373,14371,14370,14368;;
;;;;;;;0.47;D>B1;A;малышок уручье-2;12345;148934;;14367,14370,14371,14374,14375,14377,14641,14643,14645,14647,14381,14383,14385,69144;;
м;;;;5 АП;16454,;;;A>B;A;Каменная Горка-5- ДС Одоевского;1;150848;;187016,187017,133387,133389,187018,147047,147006,72403,72616,14615,14682,14703,14704,14714,15130,15588,15563,14850;;d1 - 19.01.2015<br>d2-d5 - 13.02.2015
;;;;;16479,;;;A>B;A;Каменная Горка-5 - ДС Одоевского;2345;152493;;187016,187017,133387,133389,187018,147047,147006,72403,72616,14615,14682,14703,14704,14714,15130,15588,15563,14850;;
;;;;;16454,;;0;A1>B;A;Каменная горка -5 - ДС Одоевского (без подбора);1;150849;;73866,14850;;
;;;;;;;;B>A;A;Малыш 2 Одоевского-Каменная горка-5;1;150846;;14850,15562,15587,15166,14817,14818,14819,14593,14597,72406,151194,147007,199081,133381,133382,133386,133385,73866;;
;;;;;16479,;;;B>A;A;Малыш 2 (Одоевског- Каменная горка-5);2345;152491;;14850,15562,15587,15166,14817,14818,14819,14593,14597,72406,151194,147007,199081,133381,133382,133386,133385,73866;;
я;;;;;16405,;;;A>B;A;Малыш (Каменная горка-5 - ДС Одоевского);1;143741;;73864,73865,73866,72615,72616,14615,14852,15195,14819,14684,14850;;d1 - 01.12.2014<br>d2-d5 - 13.02.2015
;;;;;16479,;;;A>B;A;Малыш (Каменная горка-5);2345;152496;;73864,73865,73866,133344,72615,72616,14615,14852,15195,14819,14684,14850;;
