даведнік:назва вобласці	даведнік:назва раёну	osm:relationID	osm:назва вобласці	osm:назва раёну	osm:назва вобласці ru	osm:назва раёну ru
		59065				
Брэсцкая		59189	Брэсцкая вобласць		Брестская область	
Брэсцкая	Баранавіцкі	71116	Брэсцкая вобласць	Баранавіцкі раён	Брестская область	Барановичский район
Брэсцкая	Брэсцкі	59188	Брэсцкая вобласць	Брэсцкі раён	Брестская область	Брестский район
Брэсцкая	Бярозаўскі	71107	Брэсцкая вобласць	Бярозаўскі раён	Брестская область	Берёзовский район
Брэсцкая	Ганцавіцкі	71121	Брэсцкая вобласць	Ганцавіцкі раён	Брестская область	Ганцевичский район
Брэсцкая	Драгічынскі	71105	Брэсцкая вобласць	Драгічынскі раён	Брестская область	Дрогичинский район
Брэсцкая	Жабінкаўскі	71099	Брэсцкая вобласць	Жабінкаўскі раён	Брестская область	Жабинковский район
Брэсцкая	Іванаўскі	71118	Брэсцкая вобласць	Іванаўскі раён	Брестская область	Ивановский район
Брэсцкая	Івацэвіцкі	71112	Брэсцкая вобласць	Івацэвіцкі раён	Брестская область	Ивацевичский район
Брэсцкая	Камянецкі	71097	Брэсцкая вобласць	Камянецкі раён	Брестская область	Каменецкий район
Брэсцкая	Кобрынскі	71101	Брэсцкая вобласць	Кобрынскі раён	Брестская область	Кобринский район
Брэсцкая	Лунінецкі	71124	Брэсцкая вобласць	Лунінецкі раён	Брестская область	Лунинецкий район
Брэсцкая	Ляхавіцкі	71117	Брэсцкая вобласць	Ляхавіцкі раён	Брестская область	Ляховичский район
Брэсцкая	Маларыцкі	71100	Брэсцкая вобласць	Маларыцкі раён	Брестская область	Малоритский район
Брэсцкая	Пінскі	71119	Брэсцкая вобласць	Пінскі раён	Брестская область	Пинский район
Брэсцкая	Пружанскі	71094	Брэсцкая вобласць	Пружанскі раён	Брестская область	Пружанский район
Брэсцкая	Столінскі	71125	Брэсцкая вобласць	Столінскі раён	Брестская область	Столинский район
Віцебская		59506	Віцебская вобласць		Витебская область	
Віцебская	Аршанскі	70660	Віцебская вобласць	Аршанскі раён	Витебская область	Оршанский район
Віцебская	Бешанковіцкі	70668	Віцебская вобласць	Бешанковіцкі раён	Витебская область	Бешенковичский район
Віцебская	Браслаўскі	70691	Віцебская вобласць	Браслаўскі раён	Витебская область	Браславский район
Віцебская	Верхнядзвінскі	70684	Віцебская вобласць	Верхнядзвінскі раён	Витебская область	Верхнедвинский район
Віцебская	Віцебскі	59504	Віцебская вобласць	Віцебскі раён	Витебская область	Витебский район
Віцебская	Гарадоцкі	70676	Віцебская вобласць	Гарадоцкі раён	Витебская область	Городокский район
Віцебская	Глыбоцкі	70703	Віцебская вобласць	Глыбоцкі раён	Витебская область	Глубокский район
Віцебская	Докшыцкі	70716	Віцебская вобласць	Докшыцкі раён	Витебская область	Докшицкий район
Віцебская	Дубровенскі	70656	Віцебская вобласць	Дубровенскі раён	Витебская область	Дубровенский район
Віцебская	Лёзненскі	70665	Віцебская вобласць	Лёзненскі раён	Витебская область	Лиозненский район
Віцебская	Лепельскі	70679	Віцебская вобласць	Лепельскі раён	Витебская область	Лепельский район
Віцебская	Мёрскі	70690	Віцебская вобласць	Міёрскі раён*	Витебская область	Миорский район
Віцебская	Пастаўскі	70707	Віцебская вобласць	Пастаўскі раён	Витебская область	Поставский район
Віцебская	Полацкі	70671	Віцебская вобласць	Полацкі раён	Витебская область	Полоцкий район
Віцебская	Расонскі	70680	Віцебская вобласць	Расонскі раён	Витебская область	Россонский район
Віцебская	Сенненскі	70662	Віцебская вобласць	Сенненскі раён	Витебская область	Сенненский район
