from	to
28 Июля	28 Июля
Автобаза связи	Автобаза связи
Автобусный парк №1	Автобусный парк №1
Автошкола	Автошкола
Акимочкина	Акимочкина
база ОПС	база ОПС
База рыбторга	База рыбторга
Беларусбанк	Беларусбанк
Бернады	Бернады
Брест-Восточный	Брест-Восточный
Брестских дивизий	Брестских дивизий
бульвар Космонавтов	бульвар Космонавтов
бульвар Шевченко	бульвар Шевченко
Варшавский рынок	Варшавский рынок
Варшавское шоссе	Варшавское шоссе
Ветренная	Ветренная
Волгоградская	Волгоградская
Восточная	Восточная
Вторцветмет	Вторцветмет
Вульковская	Вульковская
Газоаппарат	Газоаппарат
Гребной канал	Гребной канал
Гузнянская	Гузнянская
Детский Городок	Детский Городок
Дом ветеранов	Дом ветеранов
ДП "Южный Городок"	ДП "Южный Городок"
Екельчика	Екельчика
Железнодорожный вокзал	Железнодорожный вокзал
Жукова	Жукова
Завод	Завод
Заречная	Заречная
Зелёная	Зелёная
Интертранс	Интертранс
Интурист	Интурист
Картодром	Картодром
Кбн	Кбн
кладбище	кладбище
Ковалево	Ковалево
Ковры Бреста	Ковры Бреста
Колесника	Колесника
Кольцевая	Кольцевая
Комсосольская	Комсосольская
Краснознамённая	Краснознамённая
Крушинская	Крушинская
КСМ	КСМ
Ленина	Ленина
Ленинградская	Ленинградская
Летная	Летная
лицей	лицей
Лицей	Лицей
Луцкая	Луцкая
Магазин	Магазин
Махновича	Махновича
Машиностроительный завод	Машиностроительный завод
Микрорайон "Южный"	Микрорайон "Южный"
микрорайон Вулька	микрорайон Вулька
Мицкевича	Мицкевича
МОПРа	МОПРа
Мостовая	Мостовая
Музей спасенных ценностей	Музей спасенных ценностей
Мясокомбинат	Мясокомбинат
Новые Задворцы	Новые Задворцы
Областная больница	Областная больница
Октябрьской революции	Октябрьской революции
Орджоникидзе	Орджоникидзе
Орловская	Орловская
Парк 1 мая	Парк 1 мая
парк воинов Интернационалистов	парк воинов Интернационалистов
Партизанский проспект	Партизанский проспект
Площадь Ленина	Площадь Ленина
Подгородская	Подгородская
Пожарное депо	Пожарное депо
Пригородный вокзал	Пригородный вокзал
Промстройбанк	Промстройбанк
проспект Машерова	проспект Машерова
проспект Республики	проспект Республики
Пугачево	Пугачево
Рембыттехника	Рембыттехника
Республиканская	Республиканская
Речица	Речица
рынок	рынок
Рябиновая	Рябиновая
Савушкин продукт	Савушкин продукт
Свердлова	Свердлова
Светлая	Светлая
Ск "Виктория"	Ск "Виктория"
Сквер Иконникова	Сквер Иконникова
Скрипникова	Скрипникова
Смирнова	Смирнова
Спортивная школа	Спортивная школа
Стадион "Строитель"	Стадион "Строитель"
Стафеева	Стафеева
СТО-2	СТО-2
Сябровская	Сябровская
Театр	Театр
Тенистая	Тенистая
технический Университет	технический Университет
Торговый центр "Восток"	Торговый центр "Восток"
Троллейбусный парк	Троллейбусный парк
ул. Богданчука	ул. Богданчука
улица Гоголя	улица Гоголя
улица К. Маркса	улица К. Маркса
улица Мошенского	улица Мошенского
Университет	Университет
Хлебпром	Хлебпром
Цветотрон	Цветотрон
Центральная	Центральная
Центральный универмаг	Центральный универмаг
ЦМТ	ЦМТ
Чулочный комбинат	Чулочный комбинат
Школа	Школа
Школьная	Школьная
