from	to
1-я школа	1-я школа
20а микрорайон	20а микрорайон
2-я школа	2-я школа
35-й микрорайон	35-й микрорайон
3-я школа	3-я школа
70 лет БССР	70 лет БССР
Автобусный парк № 1	Автобусный парк № 1
Автосервис	Автосервис
Автоцентр "Рено"	Автоцентр "Рено"
Администрация Советского района	Администрация Советского района
Бакунина	Бакунина
Барыкина	Барыкина
Белгут	Белгут
БелГУТ	БелГУТ
больница	больница
Водоканал	Водоканал
Военкомат	Военкомат
вокзал	вокзал
Вокзал	Вокзал
Волотова	Волотова
Гидропривод	Гидропривод
Гипермаркет	Гипермаркет
ГомельОблАвтоТранс	ГомельОблАвтоТранс
Гомельторгмаш	Гомельторгмаш
Горэлектротранспорт	Горэлектротранспорт
гостиница Турист	гостиница Турист
дворец Легкой Атлетики	дворец Легкой Атлетики
Джураева	Джураева
ДК Гомсельмаша	ДК Гомсельмаша
Дом культуры Фестивальный	Дом культуры Фестивальный
Дорожник	Дорожник
Дружба	Дружба
Железнодорожный техникум	Железнодорожный техникум
Завод "Кристалл"	Завод "Кристалл"
Завод "Сантехзаготовок"	Завод "Сантехзаготовок"
Завод пусковых двигателей	Завод пусковых двигателей
Завод Самоходных Комбайнов	Завод Самоходных Комбайнов
Завод станочных узлов	Завод станочных узлов
Завод технологического оборудования	Завод технологического оборудования
Завод химических изделий	Завод химических изделий
Западный	Западный
З-д пусковых двигателей	З-д пусковых двигателей
Зип	Зип
Инженерный институт МЧС	Инженерный институт МЧС
кинотеатр "Октябрь"	кинотеатр "Октябрь"
Колледж Народных промыслов	Колледж Народных промыслов
Коминтерн	Коминтерн
Конечная	Конечная
конечная Т10, Т10а	конечная Т10, Т10а
Косарева	Косарева
Крестьянская	Крестьянская
Ледовый Дворец	Ледовый Дворец
Ленинградская улица	Ленинградская улица
Локомотивное депо	Локомотивное депо
Магазин	Магазин
магазин "1000 мелочей"	магазин "1000 мелочей"
магазин "Океан"	магазин "Океан"
Малайчука	Малайчука
Мельников Луг	Мельников Луг
МЖК	МЖК
Микрорайон "Давыдовка"	Микрорайон "Давыдовка"
микрорайон "Клёнковский"	микрорайон "Клёнковский"
Микрорайон "Молодёжный"	Микрорайон "Молодёжный"
Микрорайон "Речицкий"	Микрорайон "Речицкий"
микрорайон Любенский	микрорайон Любенский
Минская	Минская
Молодежная	Молодежная
Мотороремонтный Завод	Мотороремонтный Завод
Мясокомбинат	Мясокомбинат
Никольская церковь	Никольская церковь
ОАО "Татьяна"	ОАО "Татьяна"
Обл. больница	Обл. больница
озеро Любленское	озеро Любленское
парк Выпускников	парк Выпускников
парк Фестивальный	парк Фестивальный
переулок Ильича	переулок Ильича
площадь Ленина	площадь Ленина
Поворот на д. Севруки	Поворот на д. Севруки
поворот на Химы	поворот на Химы
Пожарная Часть	Пожарная Часть
Предприятие «Лада-сервис»	Предприятие «Лада-сервис»
Предприятие СтанкоГомель	Предприятие СтанкоГомель
Прогресс	Прогресс
Проезд Куйбышевский	Проезд Куйбышевский
проспект Космонавтов	проспект Космонавтов
проспект Октября	проспект Октября
Проспект Речицкий	Проспект Речицкий
Протезно-ортопедический центр	Протезно-ортопедический центр
Радиозавод	Радиозавод
Ратон	Ратон
