from	to
1000 мелочей	1000 мелочей
13-я школа	13-я школа
2-я Городская больница	2-я Городская больница
4-й Подольный переулок	4-й Подольный переулок
5-я школа	5-я школа
Автобусный парк	Автобусный парк
Автовокзал	Автовокзал
Автокомбинат №6	Автокомбинат №6
Автокомбинат №9	Автокомбинат №9
Аграрный университет	Аграрный университет
Азот	Азот
АЗС	АЗС
Акционерное Общество "БелКард"	Акционерное Общество "БелКард"
Аптека	Аптека
Аптечный склад	Аптечный склад
база "Галантерея"	база "Галантерея"
Барановичи	Барановичи
Богатая улица	Богатая улица
Больница скорой помощи	Больница скорой помощи
Больница №2	Больница №2
Больница №3	Больница №3
Больница №4	Больница №4
бульвар Ленинского Комсомола	бульвар Ленинского Комсомола
Васильковая улица	Васильковая улица
Весенняя улица	Весенняя улица
Вечерняя школа	Вечерняя школа
Вещевой рынок	Вещевой рынок
Вишневец	Вишневец
Вишневец–5	Вишневец–5
Вишневец–7	Вишневец–7
Вишневецкая улица	Вишневецкая улица
Воинская часть	Воинская часть
ГАИ	ГАИ
ГАП №2	ГАП №2
Гаражи	Гаражи
Гимназия № 5	Гимназия № 5
Гипермаркет "Алми"	Гипермаркет "Алми"
Госпиталь	Госпиталь
Господарчая улица	Господарчая улица
гостиница "Гродно"	гостиница "Гродно"
гостиница "Турист"	гостиница "Турист"
Грандичи Магазин	Грандичи Магазин
Грандичи Центр	Грандичи Центр
Грандичская улица	Грандичская улица
Гродноазот	Гродноазот
Гродно АТЭП	Гродно АТЭП
Гродножилстрой	Гродножилстрой
Гроднозеленстрой	Гроднозеленстрой
Гроднооблнефтепродукт	Гроднооблнефтепродукт
Гроднопромстрой	Гроднопромстрой
Гронитекс	Гронитекс
Гуманитарный колледж	Гуманитарный колледж
Дачная улица	Дачная улица
Девятовка	Девятовка
Девятовка–4	Девятовка–4
Девятовка–5	Девятовка–5
Девятовка–7	Девятовка–7
Детская больница	Детская больница
Дом Муравьёвых	Дом Муравьёвых
Дом Науки и Техники	Дом Науки и Техники
Дом связи	Дом связи
Дорожно-строительный трест №6	Дорожно-строительный трест №6
Железнодорожный вокзал	Железнодорожный вокзал
ЖЭС №19	ЖЭС №19
ЖЭС №20	ЖЭС №20
завод "БелТАПАЗ"	завод "БелТАПАЗ"
Заводоуправление	Заводоуправление
Зарица	Зарица
Звёздная улица	Звёздная улица
Зоопарк	Зоопарк
Издательская улица	Издательская улица
Индурское шоссе	Индурское шоссе
Институт биохимии	Институт биохимии
Институт Последипломного Образования	Институт Последипломного Образования
кинотеатр "Восток"	кинотеатр "Восток"
кинотеатр "Космос"	кинотеатр "Космос"
Колбасино	Колбасино
колледж Легкой Промышленности	колледж Легкой Промышленности
колледж Приборостроения	колледж Приборостроения
Краснознамённая улица	Краснознамённая улица
КСМ	КСМ
Кукольный театр	Кукольный театр
Курган Славы	Курган Славы
Лапенки	Лапенки
Ледовый дворец	Ледовый дворец
Лидская улица	Лидская улица
Локомотивное депо	Локомотивное депо
Лососно	Лососно
Магазин	Магазин
магазин "Ника"	магазин "Ника"
Магистральная улица	Магистральная улица
Малаховичи	Малаховичи
Маслобаза	Маслобаза
Медицинский университет	Медицинский университет
Механический завод	Механический завод
Молодёжная улица	Молодёжная улица
Музыкальный колледж	Музыкальный колледж
МЧС	МЧС
Мясокомбинат	Мясокомбинат
Областная больница	Областная больница
Областная филармония	Областная филармония
Обувная фабрика	Обувная фабрика
Овощная фабрика	Овощная фабрика
Озёрское шоссе	Озёрское шоссе
Окульная улица	Окульная улица
