from	to
2-я проходная	2-я проходная
30 лет Победы	30 лет Победы
4-й Подгорный переулок	4-й Подгорный переулок
Автобусный парк №1	Автобусный парк №1
Автовокзал	Автовокзал
Автосервис	Автосервис
Администpация Ленинского Pайона	Администpация Ленинского Pайона
АЗС	АЗС
аптека №10	аптека №10
АТС-42	АТС-42
Белинского	Белинского
Белорусско-Российский Университет	Белорусско-Российский Университет
Берёзовская	Берёзовская
Бок	Бок
бульвар Непокоренных	бульвар Непокоренных
Бухгалтерская школа	Бухгалтерская школа
вокзал	вокзал
Вокзал	Вокзал
Габровская	Габровская
Гаражи	Гаражи
Горбольница	Горбольница
Горветстанция	Горветстанция
Горэлектротранспорт	Горэлектротранспорт
госпиталь инвалидов ВОВ	госпиталь инвалидов ВОВ
гостиница "Турист"	гостиница "Турист"
гостиница Могилёв	гостиница Могилёв
гостиница Турист	гостиница Турист
Гребенёвский рынок	Гребенёвский рынок
дворец Культуры области	дворец Культуры области
детская больница	детская больница
Детский сад	Детский сад
Диагностический Центр	Диагностический Центр
Днепровский бульвар	Днепровский бульвар
Дом ветеранов	Дом ветеранов
Дом Ребёнка	Дом Ребёнка
Драмтеатр	Драмтеатр
ДСК	ДСК
Дубровенка	Дубровенка
Жемчужная	Жемчужная
З/д "Могилевтpансмаш"	З/д "Могилевтpансмаш"
Завод "Стpоммашина"	Завод "Стpоммашина"
Завод Зенит	Завод Зенит
Завод имени Кирова	Завод имени Кирова
Завод Могилёвлифтмаш	Завод Могилёвлифтмаш
Завод Синтетических Плёнок	Завод Синтетических Плёнок
Завод Техноприбор	Завод Техноприбор
Завод Утилизации Бытовых Ресурсов	Завод Утилизации Бытовых Ресурсов
Завод Эмис	Завод Эмис
Залуцкого	Залуцкого
Заслонова	Заслонова
Зелёный Гай	Зелёный Гай
Калужская	Калужская
Каштановая	Каштановая
Киpова	Киpова
кинотеатр "Чырвоная Зорка"	кинотеатр "Чырвоная Зорка"
кинотеатр Родина	кинотеатр Родина
кладбище	кладбище
колледж МВД	колледж МВД
Коллективная	Коллективная
комбинат Силикатных Изделий	комбинат Силикатных Изделий
Королёва	Королёва
Корпуск 2	Корпуск 2
Котовского	Котовского
Коттеджи	Коттеджи
КП "Зелёный Луг"	КП "Зелёный Луг"
КП "Любуж"	КП "Любуж"
КП "переезд"	КП "переезд"
КП "ТЭЦ-2"	КП "ТЭЦ-2"
Краснозвёздная	Краснозвёздная
Крупской	Крупской
Кулибина	Кулибина
Культпросветучилище	Культпросветучилище
Курако	Курако
Лазаренко	Лазаренко
Ленинская улица	Ленинская улица
Лесничество	Лесничество
Лесопарк	Лесопарк
лицей Машиностроения	лицей Машиностроения
магазин	магазин
магазин Пинскдрев	магазин Пинскдрев
магазин №75	магазин №75
магазин №77	магазин №77
магазин №84	магазин №84
Машековская	Машековская
Менжинского	Менжинского
Микрорайон "Спутник"	Микрорайон "Спутник"
микрорайон "Фатина"	микрорайон "Фатина"
микрорайон Казимировка	микрорайон Казимировка
микрорайон Техноприбор	микрорайон Техноприбор
микрорайон Юбилейный	микрорайон Юбилейный
мини-рынок	мини-рынок
Минское шоссе	Минское шоссе
Мир-2	Мир-2
Мовчанского	Мовчанского
