from	to
10-я больница	10-я больница
14-й км	14-й км
21-я поликлиника	21-я поликлиника
2-е кольцо	2-е кольцо
2-й Летний переулок	2-й Летний переулок
2-й пер. р. Люксембург	2-й пер. р. Люксембург
2-й переулок Розы Люксембург	2-й переулок Розы Люксембург
2-й Юношеский переулок	2-й Юношеский переулок
2-я Городская детская больница	2-я Городская детская больница
3-го Сентября	3-го Сентября
3-го Сентября ул.	3-го Сентября ул.
43	43
4-я больница	4-я больница
5-я больница	5-я больница
9-й км	9-й км
9-я больница	9-я больница
А/с Автозаводская	А/с Автозаводская
А. Гаруна ул.	А. Гаруна ул.
Авакяна ул.	Авакяна ул.
Авангардная	Авангардная
Авангардная ул.	Авангардная ул.
Авиационная	Авиационная
Авт. 110	Авт. 110
Авт. 110, 111, 112	Авт. 110, 111, 112
Автобаза	Автобаза
Автобусный парк №6	Автобусный парк №6
АвтоВАЗ	АвтоВАЗ
Автовокзал Восточный	Автовокзал Восточный
Автозаводская ст.м.	Автозаводская ст.м.
Автокомбинат №5	Автокомбинат №5
Автосила	Автосила
Автостанция Автозаводская	Автостанция Автозаводская
Автостоянка	Автостоянка
Автотаксосервис	Автотаксосервис
АвтоТаксоСервис	АвтоТаксоСервис
Автоцентр "Москвич"	Автоцентр "Москвич"
АЗС	АЗС
Академгородок	Академгородок
Академика Карского	Академика Карского
Академика Купревича	Академика Купревича
Академика Фёдорова	Академика Фёдорова
Академическая улица	Академическая улица
Академия Наук	Академия Наук
Аладовых ул.	Аладовых ул.
Алеся магазин	Алеся магазин
Алибегова	Алибегова
Алтайская	Алтайская
Алтайская-1	Алтайская-1
Алтайская-2	Алтайская-2
Ангарская	Ангарская
Ангарская-3	Ангарская-3
Андреевская улица	Андреевская улица
Аранская	Аранская
Ареола фабрика	Ареола фабрика
АТС	АТС
Аэродромная улица	Аэродромная улица
Аэродромный ТК	Аэродромный ТК
аэропорт Минск-1	аэропорт Минск-1
Аэропорт Минск-1	Аэропорт Минск-1
база "Белсельстрой"	база "Белсельстрой"
Базисная	Базисная
Базы	Базы
Байкальская	Байкальская
Банно-оздоровительный комплекс	Банно-оздоровительный комплекс
Барамзиной	Барамзиной
Барановщина	Барановщина
Беды	Беды
Бел. Гос. муз. театр	Бел. Гос. муз. театр
Белавтогаз	Белавтогаз
Белая Дача	Белая Дача
Белгостелерадио	Белгостелерадио
Белецкого	Белецкого
Белецкого 6	Белецкого 6
Белита-Витэкс	Белита-Витэкс
Белмагистральавтотранс	Белмагистральавтотранс
Белмедпрепараты	Белмедпрепараты
Белорусский Государственный Музыкальный театр	Белорусский Государственный Музыкальный театр
Белпласт	Белпласт
Белпроект	Белпроект
Бельского	Бельского
Берестянская	Берестянская
Берестянская ул.	Берестянская ул.
Берута	Берута
Бетонный проезд	Бетонный проезд
Бизнес-Центр	Бизнес-Центр
Богдановича	Богдановича
Большой Тростенец	Большой Тростенец
Борисовский тракт	Борисовский тракт
Ботаническая ул.	Ботаническая ул.
Брест универсам	Брест универсам
Брилевская улица	Брилевская улица
Бровки	Бровки
Будённого	Будённого
бульвар Шевченко	бульвар Шевченко
Бурдейного	Бурдейного
Бурдейного, 35	Бурдейного, 35
б-ца «Новинки»	б-ца «Новинки»
Быховская	Быховская
Вагоноремонтный Завод	Вагоноремонтный Завод
