from	to
11-я школа	11-я школа
12-я Бебеля	12-я Бебеля
1-я Колхозная	1-я Колхозная
1-я Полярная	1-я Полярная
25-я школа	25-я школа
2-я Горбольница	2-я Горбольница
31-ая школа	31-ая школа
31-я школа	31-я школа
3-я Линия	3-я Линия
8-я Совхозная улица	8-я Совхозная улица
8-я Чепинская	8-я Чепинская
9-я Социалистическая улица	9-я Социалистическая улица
Автобаза	Автобаза
Автовокзал	Автовокзал
Баграмяна	Баграмяна
База «Хозторг»	База «Хозторг»
Библиотека им. Ленина	Библиотека им. Ленина
Библиотека им. Лынькова	Библиотека им. Лынькова
Билево	Билево
Билево-2	Билево-2
Бителёво	Бителёво
Больница скорой медицинской помощи	Больница скорой медицинской помощи
Ботанический заказник	Ботанический заказник
Васюты	Васюты
ВГУ им. Машерова П.М.	ВГУ им. Машерова П.М.
Вересковая	Вересковая
Ветеран	Ветеран
Витебсклес	Витебсклес
Воинов-интернационалистов	Воинов-интернационалистов
Войсковой городок	Войсковой городок
Вокзал	Вокзал
Володарского	Володарского
Гимназия № 6	Гимназия № 6
Горького	Горького
Гостиница «Лучёса»	Гостиница «Лучёса»
Госуниверситет	Госуниверситет
Грибоедова	Грибоедова
Давыдовка	Давыдовка
Дачи-1	Дачи-1
Дачная	Дачная
Детский Центр	Детский Центр
Драмтеатр им. Якуба Коласа	Драмтеатр им. Якуба Коласа
ДСК	ДСК
Ж/д вокзал	Ж/д вокзал
Журжево	Журжево
Завод «ВиЗАС»	Завод «ВиЗАС»
Завод КПД	Завод КПД
Заречная	Заречная
Индустриально-педагогический колледж	Индустриально-педагогический колледж
ИП «ЧЕСС-Бел»	ИП «ЧЕСС-Бел»
Казимировская	Казимировская
Кинотеатр «Бригантина»	Кинотеатр «Бригантина»
Клиника ВГМУ	Клиника ВГМУ
Кольцевая	Кольцевая
комбинат Витьба	комбинат Витьба
Комсомольская	Комсомольская
конечная маршрута № 12 "Улановичи-2"	конечная маршрута № 12 "Улановичи-2"
Куйбышева	Куйбышева
Лагерная	Лагерная
Ледовый дворец	Ледовый дворец
Ленинградская	Ленинградская
Леонова	Леонова
Лесопункт	Лесопункт
Ликёро-водочный завод	Ликёро-водочный завод
Лиозненская	Лиозненская
Лицей № 5 приборостроения	Лицей № 5 приборостроения
Магазин «Омега»	Магазин «Омега»
Магазин № 35	Магазин № 35
Медицинский университет	Медицинский университет
Медцентр	Медцентр
Медцентр (конечная)	Медцентр (конечная)
Мелькомбинат	Мелькомбинат
Микрорайон Медцентр	Микрорайон Медцентр
Микрорайон Фрунзе	Микрорайон Фрунзе
Молодежная	Молодежная
Московская	Московская
МСУ-5	МСУ-5
Никрополье	Никрополье
Новооршанская	Новооршанская
Новооршанское шоссе	Новооршанское шоссе
ОАО «Красный Октябрь»	ОАО «Красный Октябрь»
ОАО Красный Октябрь	ОАО Красный Октябрь
Областная больница	Областная больница
Областная инфекционная больница	Областная инфекционная больница
Облисполком	Облисполком
Онкобольница	Онкобольница
Онкодиспансер	Онкодиспансер
ООО «Альянспласт»	ООО «Альянспласт»
ООО «ВИК - здоровье животных»	ООО «ВИК - здоровье животных»
