from	to
1000 мелочей	1000 мелочей
10-я больница	10-я больница
11-я школа	11-я школа
12-й магазин	12-й магазин
12-я Бебеля	12-я Бебеля
13-я школа	13-я школа
14-й Городок	14-й Городок
14-й км	14-й км
14 Партизан	14 Партизан
15-я школа	15-я школа
16	16
16, 18	16, 18
16,26	16,26
17 школа	17 школа
18	18
18-е отделение связи	18-е отделение связи
18 магазин	18 магазин
18-я школа	18-я школа
1ая Минская Птицефабрика	1ая Минская Птицефабрика
1-е ворота	1-е ворота
1 Ру	1 Ру
1 Широкая	1 Широкая
1-я Колхозная	1-я Колхозная
1-я Полярная	1-я Полярная
1-я школа	1-я школа
20а микрорайон	20а микрорайон
21-я поликлиника	21-я поликлиника
23-я школа	23-я школа
25-я школа	25-я школа
26	26
28 Июля	28 Июля
2ая поликлиника	2ая поликлиника
2-е ворота	2-е ворота
2-е кольцо	2-е кольцо
2-й Летний переулок	2-й Летний переулок
2-й пер. р. Люксембург	2-й пер. р. Люксембург
2-й переулок Розы Люксембург	2-й переулок Розы Люксембург
2-й Юношеский переулок	2-й Юношеский переулок
2-ру	2-ру
2 Широкая	2 Широкая
2-я Горбольница	2-я Горбольница
2-я Городская больница	2-я Городская больница
2-я Городская детская больница	2-я Городская детская больница
2-я Ленинская	2-я Ленинская
2-я проходная	2-я проходная
2-я школа	2-я школа
3, 16, 18	3, 16, 18
30 лет Победы	30 лет Победы
31-ая школа	31-ая школа
31-я школа	31-я школа
35-й микрорайон	35-й микрорайон
3-го Сентября	3-го Сентября
3-го Сентября ул.	3-го Сентября ул.
3-ру	3-ру
3-я Линия	3-я Линия
3-я поликлиника	3-я поликлиника
3-я школа	3-я школа
43	43
4-й микрорайон	4-й микрорайон
4-й Подгорный переулок	4-й Подгорный переулок
4-й Подольный переулок	4-й Подольный переулок
4-ру	4-ру
4-я больница	4-я больница
4-я школа	4-я школа
50 км	50 км
50 лет ВЛКСМ	50 лет ВЛКСМ
5-ый микрорайон	5-ый микрорайон
5-я больница	5-я больница
5-я школа	5-я школа
6-й Городок	6-й Городок
6-й км	6-й км
6-й микрорайон	6-й микрорайон
70 лет БССР	70 лет БССР
8 Марта	8 Марта
8-ой микрорайон	8-ой микрорайон
8-я Совхозная улица	8-я Совхозная улица
8-я Чепинская	8-я Чепинская
9-й километр	9-й километр
9-й км	9-й км
9-я больница	9-я больница
9-я линия	9-я линия
9-я Линия	9-я Линия
9-я Социалистическая улица	9-я Социалистическая улица
Cахарный Завод	Cахарный Завод
Cтрельчики	Cтрельчики
А/с Автозаводская	А/с Автозаводская
А. Гаруна ул.	А. Гаруна ул.
Авакяна ул.	Авакяна ул.
Авангардная	Авангардная
Авангардная ул.	Авангардная ул.
Авиагородок	Авиагородок
Авиагородок-1	Авиагородок-1
Авиационная	Авиационная
Авт. 110	Авт. 110
Авт. 110, 111, 112	Авт. 110, 111, 112
Автобаза	Автобаза
Автобаза связи	Автобаза связи
Автобусный парк	Автобусный парк
Автобусный парк №1	Автобусный парк №1
Автобусный парк № 1	Автобусный парк № 1
Автобусный парк №4	Автобусный парк №4
Автобусный парк №6	Автобусный парк №6
АвтоВАЗ	АвтоВАЗ
Автовокзал	Автовокзал
Автовокзал Восточный	Автовокзал Восточный
Автодромная улица	Автодромная улица
Автозаводская ст.м.	Автозаводская ст.м.
Автокалонна	Автокалонна
Автокасса	Автокасса
Автокомбинат	Автокомбинат
Автокомбинат №5	Автокомбинат №5
Автокомбинат №6	Автокомбинат №6
Автокомбинат №9	Автокомбинат №9
Автокооператив	Автокооператив
Автопарк	Автопарк
Автопарк №12	Автопарк №12
Автопарк №4	Автопарк №4
Автопровод	Автопровод
Авторынок	Авторынок
Автосервис	Автосервис
Автосила	Автосила
Автостанция	Автостанция
Автостанция Автозаводская	Автостанция Автозаводская
Автостанция Дубровно	Автостанция Дубровно
Автостанция Зельва	Автостанция Зельва
Автостанция Речица	Автостанция Речица
Автостоянка	Автостоянка
Автотаксосервис	Автотаксосервис
АвтоТаксоСервис	АвтоТаксоСервис
Автоцентр "Москвич"	Автоцентр "Москвич"
Автоцентр "Рено"	Автоцентр "Рено"
Автошкола	Автошкола
аг. Лесной	аг. Лесной
Аграрный колледж	Аграрный колледж
Аграрный университет	Аграрный университет
Агрогородок	Агрогородок
АГРОКОЛЛЕДЖ	АГРОКОЛЛЕДЖ
Агромаш	Агромаш
Агропромэнерго	Агропромэнерго
Администpация Ленинского Pайона	Администpация Ленинского Pайона
Администрация Советского района	Администрация Советского района
Азот	Азот
АЗС	АЗС
Академгородок	Академгородок
Академика Карского	Академика Карского
Академика Купревича	Академика Купревича
Академика Фёдорова	Академика Фёдорова
Академическая улица	Академическая улица
Академия Наук	Академия Наук
Акимочкина	Акимочкина
Акопова	Акопова
Аксаковщина	Аксаковщина
Аксаковщина Поворот	Аксаковщина Поворот
Акционерное Общество "БелКард"	Акционерное Общество "БелКард"
Аладовых ул.	Аладовых ул.
Александровка	Александровка
Алекшицы	Алекшицы
Алеся	Алеся
Алеся магазин	Алеся магазин
Алибегова	Алибегова
Алми	Алми
Алтайская	Алтайская
Алтайская-1	Алтайская-1
Алтайская-2	Алтайская-2
Альба	Альба
Альбрехтово	Альбрехтово
Альсагорка	Альсагорка
Ангарская	Ангарская
Ангарская-3	Ангарская-3
Андреевка	Андреевка
Андреевская улица	Андреевская улица
Андроново	Андроново
Андрушевцы	Андрушевцы
Антоновка	Антоновка
АП-5	АП-5
аптека	аптека
Аптека	Аптека
аптека-Управление	аптека-Управление
аптека №10	аптека №10
Аптечный склад	Аптечный склад
АП №2	АП №2
Аранская	Аранская
Ареола фабрика	Ареола фабрика
Артуки	Артуки
Асавец	Асавец
Астровы	Астровы
Асфальтный завод	Асфальтный завод
АТС	АТС
АТС-42	АТС-42
Атэп	Атэп
Аэродром	Аэродром
Аэродромная улица	Аэродромная улица
Аэродромный ТК	Аэродромный ТК
аэропорт Минск-1	аэропорт Минск-1
Аэропорт Минск-1	Аэропорт Минск-1
Б.о. Милоград	Б.о. Милоград
Б.Слобода-1	Б.Слобода-1
Б.Слобода-2	Б.Слобода-2
Бабцы	Бабцы
Багач	Багач
Баграмяна	Баграмяна
Багута	Багута
база "Белсельстрой"	база "Белсельстрой"
база "Галантерея"	база "Галантерея"
база "Коммунальник"	база "Коммунальник"
База «Хозторг»	База «Хозторг»
база ОПС	база ОПС
База рыбторга	База рыбторга
Базисная	Базисная
Базы	Базы
Байдаки	Байдаки
Байкальская	Байкальская
Бакунина	Бакунина
Бали	Бали
Банно-оздоровительный комплекс	Банно-оздоровительный комплекс
Барамзиной	Барамзиной
Барановичи	Барановичи
Барановщина	Барановщина
Барыкина	Барыкина
Бассейн	Бассейн
Батали	Батали
Баумана	Баумана
Беды	Беды
Бел. Гос. муз. театр	Бел. Гос. муз. театр
Белавтогаз	Белавтогаз
Беларусбанк	Беларусбанк
Беларусьрезинотехника	Беларусьрезинотехника
Белая Дача	Белая Дача
Белая Липа	Белая Липа
Белгостелерадио	Белгостелерадио
Белгут	Белгут
БелГУТ	БелГУТ
Белецкого	Белецкого
Белецкого 6	Белецкого 6
Белинского	Белинского
Белита-Витэкс	Белита-Витэкс
Белица	Белица
Беллакт	Беллакт
Белмагистральавтотранс	Белмагистральавтотранс
Белмедпрепараты	Белмедпрепараты
Белое Болото	Белое Болото
Белорусский Государственный Музыкальный театр	Белорусский Государственный Музыкальный театр
Белорусско-Российский Университет	Белорусско-Российский Университет
Белпласт	Белпласт
Белпроект	Белпроект
Белшина	Белшина
Белые Лужи	Белые Лужи
Белькишки	Белькишки
Бельского	Бельского
Береговая	Береговая
Береговой	Береговой
Берёзка	Берёзка
Березовая гора	Березовая гора
Берёзовская	Берёзовская
Берестянская	Берестянская
Берестянская ул.	Берестянская ул.
Бернады	Бернады
Берута	Берута
Бетонный проезд	Бетонный проезд
Бешенковичи	Бешенковичи
Библиотека	Библиотека
Библиотека им. Ленина	Библиотека им. Ленина
Библиотека им. Лынькова	Библиотека им. Лынькова
Бизнес-Центр	Бизнес-Центр
Биково	Биково
Билево	Билево
Билево-2	Билево-2
Билиотека	Билиотека
Бителёво	Бителёво
Блонь	Блонь
БМЗ	БМЗ
Богатая улица	Богатая улица
Богатырёво	Богатырёво
Богдановича	Богдановича
Богушево	Богушево
Бок	Бок
больница	больница
Больница	Больница
больница (Свислочь)	больница (Свислочь)
больница Медицинской Реабилитации	больница Медицинской Реабилитации
Больница Островля	Больница Островля
Больница скорой медицинской помощи	Больница скорой медицинской помощи
Больница скорой помощи	Больница скорой помощи
Больница №2	Больница №2
Больница №3	Больница №3
Больница №4	Больница №4
Большие Роги - 2	Большие Роги - 2
Большой Тростенец	Большой Тростенец
Борисовский тракт	Борисовский тракт
Боровая	Боровая
Боровики	Боровики
Боровляны -2	Боровляны -2
Боровляны-2	Боровляны-2
Боровляны 6	Боровляны 6
Боровская	Боровская
Боровуха-2	Боровуха-2
Боровцы	Боровцы
Борщёвка	Борщёвка
Ботаническая ул.	Ботаническая ул.
Ботанический заказник	Ботанический заказник
Бочейково	Бочейково
Бояры	Бояры
Брест-Восточный	Брест-Восточный
Брестская улица	Брестская улица
Брестских дивизий	Брестских дивизий
Брест универсам	Брест универсам
Брилевская улица	Брилевская улица
Бровки	Бровки
Бронное маг.	Бронное маг.
Бросты	Бросты
Буг	Буг
Будённого	Будённого
Будилово	Будилово
Буйвичи	Буйвичи
Буйничи-2	Буйничи-2
Букатино	Букатино
БУК ДЭП	БУК ДЭП
Бульвар Гедимина	Бульвар Гедимина
бульвар Космонавтов	бульвар Космонавтов
бульвар Ленинского Комсомола	бульвар Ленинского Комсомола
бульвар Металлургов	бульвар Металлургов
бульвар Непокоренных	бульвар Непокоренных
бульвар Шевченко	бульвар Шевченко
Бульвар Юности	Бульвар Юности
Бурдейного	Бурдейного
Бурдейного, 35	Бурдейного, 35
Бусни	Бусни
Бухгалтерская школа	Бухгалтерская школа
б-ца «Новинки»	б-ца «Новинки»
Быховская	Быховская
Вагоноремонтный Завод	Вагоноремонтный Завод
Валавская Рудня	Валавская Рудня
Валянчицы	Валянчицы
Ванеева пл.	Ванеева пл.
Ванцетти	Ванцетти
Варвашени	Варвашени
Варвашени, 6	Варвашени, 6
Варки	Варки
Варшавская	Варшавская
Варшавский рынок	Варшавский рынок
Варшавское шоссе	Варшавское шоссе
Василевцы	Василевцы
Василевщина	Василевщина
Васильковая улица	Васильковая улица
Васнецова	Васнецова
Васюты	Васюты
ВГУ им. Машерова П.М.	ВГУ им. Машерова П.М.
вдхр. Дрозды	вдхр. Дрозды
Великие Укроповичи	Великие Укроповичи
Великий Бор	Великий Бор
Великий Гостинец	Великий Гостинец
Великий Трилесин	Великий Трилесин
Великоморская	Великоморская
Великосельская	Великосельская
Вентиляционная	Вентиляционная
Вересковая	Вересковая
Верхлес	Верхлес
Верховье	Верховье
Веры Хоружей	Веры Хоружей
Веселое	Веселое
Весенняя улица	Весенняя улица
Веснинка	Веснинка
Веснинка 10	Веснинка 10
Веснинка ул., 10	Веснинка ул., 10
Веснянка	Веснянка
Веснянка микрорайон	Веснянка микрорайон
Ветеран	Ветеран
Ветиляционная	Ветиляционная
Ветлечебница	Ветлечебница
Ветренная	Ветренная
Ветхинь	Ветхинь
Вечерняя школа	Вечерняя школа
Вещевой рынок	Вещевой рынок
ВЗЛО	ВЗЛО
Виленский шлях	Виленский шлях
Вильнюс кинотеатр	Вильнюс кинотеатр
Винзавод	Винзавод
Вистычи	Вистычи
Витебсклес	Витебсклес
Витьба	Витьба
Вишневец	Вишневец
Вишневец–5	Вишневец–5
Вишневец–7	Вишневец–7
Вишневецкая улица	Вишневецкая улица
Вишневка	Вишневка
Вишнёвка	Вишнёвка
Вишнево	Вишнево
Водоканал	Водоканал
Водонасосная-1	Водонасосная-1
Водоочистительная станция	Водоочистительная станция
водохранилище	водохранилище
Водохранилище	Водохранилище
Военкомат	Военкомат
Военный городок	Военный городок
Военный Городок (Авт. №201)	Военный Городок (Авт. №201)
Военторг	Военторг
Воинов-интернационалистов	Воинов-интернационалистов
Воинская часть	Воинская часть
Войсковой	Войсковой
Войсковой городок	Войсковой городок
вокзал	вокзал
Вокзал	Вокзал
вокзал Бобруйск	вокзал Бобруйск
Вокзальная	Вокзальная
Волгоградская	Волгоградская
Волгоградская улица	Волгоградская улица
Волевачи	Волевачи
Волма	Волма
Волмянский шлях	Волмянский шлях
Володарского	Володарского
Воложинская	Воложинская
Волотова	Волотова
Волчья Гора	Волчья Гора
Волы	Волы
Ворона	Ворона
Вороны	Вороны
Воронянского ул.	Воронянского ул.
Восток-2	Восток-2
Восток ст.м.	Восток ст.м.
Восточная	Восточная
Восточный Ав	Восточный Ав
Восточный переулок	Восточный переулок
Всехсвятская	Всехсвятская
Вск "Лесной"	Вск "Лесной"
Вторцветмет	Вторцветмет
Вульковская	Вульковская
Выдайко	Выдайко
Высокая	Высокая
выставочный комплекс	выставочный комплекс
Вядерево	Вядерево
Вязань	Вязань
Вяча	Вяча
г.п. Желудок	г.п. Желудок
Габровская	Габровская
газеты "Звязда" проспект	газеты "Звязда" проспект
Газоаппарат	Газоаппарат
Газонаполнительная ст.	Газонаполнительная ст.
Газонаполнительная станция	Газонаполнительная станция
ГАИ	ГАИ
Гайдара	Гайдара
Гайна	Гайна
Галантерейная	Галантерейная
Галимцы	Галимцы
Гамарника	Гамарника
ГАП №2	ГАП №2
ГАП №6	ГАП №6
гаражи	гаражи
Гаражи	Гаражи
Гастелло (конечаня м-та №15Т)	Гастелло (конечаня м-та №15Т)
Гастелло-1	Гастелло-1
Гастроном Охотский	Гастроном Охотский
Гвардейская улица	Гвардейская улица
Гезгалы	Гезгалы
Геологическая	Геологическая
Геологоразведка	Геологоразведка
Герасименко	Герасименко
Герцена	Герцена
Гибуличи	Гибуличи
Гидропривод	Гидропривод
гимназия	гимназия
Гимназия №10	Гимназия №10
гимназия №2	гимназия №2
Гимназия № 5	Гимназия № 5
Гимназия № 6	Гимназия № 6
Гипермаркет	Гипермаркет
Гипермаркет "Алми"	Гипермаркет "Алми"
Гипермаркет Простор	Гипермаркет Простор
Гипсовый Завод	Гипсовый Завод
Гиров	Гиров
Главпочтампт	Главпочтампт
Глаголева	Глаголева
Глебки	Глебки
Глебки П. ул.	Глебки П. ул.
Глебки П. ул., 120	Глебки П. ул., 120
Глебковка	Глебковка
Глубочаны	Глубочаны
Глухой Ток	Глухой Ток
Глушец	Глушец
Годеи	Годеи
Гожа	Гожа
Головничи	Головничи
Голощакино	Голощакино
Голубева	Голубева
Голубка ул.	Голубка ул.
Голубовка	Голубовка
Голынка	Голынка
ГомельОблАвтоТранс	ГомельОблАвтоТранс
Гомельская	Гомельская
Гомельторгмаш	Гомельторгмаш
Горавец	Горавец
Горадзейски Маёнтак	Горадзейски Маёнтак
Горани	Горани
Горбатова, 44	Горбатова, 44
Горбатова, 45	Горбатова, 45
Горбатова, 73	Горбатова, 73
Горбатова, 74	Горбатова, 74
Горбольница	Горбольница
Горветстанция	Горветстанция
Горгаз	Горгаз
