from	to
"Дендропарк"	"Дендропарк"
Cквер имени С.О. Притыцкого	Cквер имени С.О. Притыцкого
Forest Park Authority	Forest Park Authority
hgjgy	hgjgy
Horka forest	Horka forest
Алея Дружбы	Алея Дружбы
Аллея 940 летия Минска	Аллея 940 летия Минска
аллея знаменитых уроженцев Глуботчины	аллея знаменитых уроженцев Глуботчины
Аллея Молодоженов	Аллея Молодоженов
Аллея праведников мира	Аллея праведников мира
Аляксандраўскі сквер	Аляксандраўскі сквер
Английский парк	Английский парк
Английский пейзажный парк	Английский пейзажный парк
Антоновский парк	Антоновский парк
Бондаревский сквер	Бондаревский сквер
Ботанический сад	Ботанический сад
Бульвар Данилы Сердича	Бульвар Данилы Сердича
Бульвар Металлургов	Бульвар Металлургов
Бульвар Мулявина	Бульвар Мулявина
бульвар Толбухина	бульвар Толбухина
Бульвар Тракторостроителей	Бульвар Тракторостроителей
Бульвар Шевченко	Бульвар Шевченко
Внутренний дворик БГУ	Внутренний дворик БГУ
Военно-исторический комплекс «Партизанский лагерь»	Военно-исторический комплекс «Партизанский лагерь»
газон	газон
гольф-клуб	гольф-клуб
Городище «Замковая гора»	Городище «Замковая гора»
городской парк	городской парк
Городской парк	Городской парк
Городской  парк	Городской  парк
Городской парк имени Горького	Городской парк имени Горького
Дворцово -парковый комплекс XVIII—XIX вв.	Дворцово -парковый комплекс XVIII—XIX вв.
Дендропарк	Дендропарк
Детский парк	Детский парк
Детския парк	Детския парк
Долина любви.	Долина любви.
Дубрава	Дубрава
Заказник гидрологический "Волка"	Заказник гидрологический "Волка"
Золотая гора	Золотая гора
Итальянский парк	Итальянский парк
Кальварийский сквер	Кальварийский сквер
Каскады (Дамба)	Каскады (Дамба)
Киевский сквер	Киевский сквер
Коложский парк	Коложский парк
Комаровский сквер	Комаровский сквер
Комплекс "Старая граница"	Комплекс "Старая граница"
Комсомольский парк	Комсомольский парк
Красная площадь	Красная площадь
Лепельский Парк	Лепельский Парк
Лес	Лес
Лесная зона	Лесная зона
Лесопарк	Лесопарк
Лесопарк Медвежино	Лесопарк Медвежино
Лесопарковая зона "Медвежино"	Лесопарковая зона "Медвежино"
лесопарк Юрьева Горка	лесопарк Юрьева Горка
Липовая роща	Липовая роща
Лютеранский сквер	Лютеранский сквер
Ляховский сквер	Ляховский сквер
Малиновский	Малиновский
Маломедвежинский сквер	Маломедвежинский сквер
Марысин парк	Марысин парк
Мемориальный сквер	Мемориальный сквер
Минина	Минина
Минский зоопарк	Минский зоопарк
Михайловский сквер	Михайловский сквер
Молодой парк	Молодой парк
Ольшевский сквер	Ольшевский сквер
Остров любви	Остров любви
Панский парк и аллея	Панский парк и аллея
парк	парк
Парк	Парк
ПАРК	ПАРК
Парк.	Парк.
Парк. Алея героев	Парк. Алея героев
Парк "Тугановичский"	Парк "Тугановичский"
Парк 1000-летия Витебска	Парк 1000-летия Витебска
Парк 40-летия Октября	Парк 40-летия Октября
Парк 40-летия Победы	Парк 40-летия Победы
Парк 900-летия Минска	Парк 900-летия Минска
парк Антония	парк Антония
