from	to
"Нива"	"Нива"
cтадион	cтадион
Lokomotiv	Lokomotiv
Баскетбольная площадка	Баскетбольная площадка
Бассейн "Нептун"	Бассейн "Нептун"
Борисов-Арена	Борисов-Арена
Велодром	Велодром
Гомсельмаш	Гомсельмаш
Городок	Городок
Городской стадион	Городской стадион
Городской Стадион	Городской Стадион
Дворец тенниса "Смена"	Дворец тенниса "Смена"
Динамо	Динамо
ДЮСШ №4	ДЮСШ №4
Заря	Заря
Каток	Каток
Колос	Колос
Конькобежный стадион	Конькобежный стадион
Ледовый каток	Ледовый каток
Лицей	Лицей
Локомотив	Локомотив
Лукодром	Лукодром
Льнозавод	Льнозавод
Минск-Арена	Минск-Арена
Мобильный сезонный каток	Мобильный сезонный каток
Мотобольный стадион	Мотобольный стадион
Мотодром	Мотодром
Неман	Неман
Нёман	Нёман
Олимп	Олимп
Припять	Припять
Пружанский стадион	Пружанский стадион
Сдюшор №4	Сдюшор №4
Сеницкий	Сеницкий
СК "Виктория"	СК "Виктория"
Согк Мозырь	Согк Мозырь
Спартак	Спартак
Спортивный Комплекс Брестский	Спортивный Комплекс Брестский
спортплощадка	спортплощадка
спорт площадка	спорт площадка
стадион "Локомотив"	стадион "Локомотив"
Стадион "Локомотив"	Стадион "Локомотив"
Стадион "Луч"	Стадион "Луч"
Стадион "Льнокомбинат"	Стадион "Льнокомбинат"
стадион "Олимпиец"	стадион "Олимпиец"
Стадион "Спартак"	Стадион "Спартак"
Стадион "Строитель"	Стадион "Строитель"
Стадион "Шахтер"	Стадион "Шахтер"
Стадион «Домостроитель»	Стадион «Домостроитель»
Стадион «Трактор»	Стадион «Трактор»
Стадион Атлант	Стадион Атлант
Стадион Бульвара Страконицкого 27	Стадион Бульвара Страконицкого 27
стадион ВГТУ	стадион ВГТУ
Стадион ГГУ	Стадион ГГУ
Стадион гимназии	Стадион гимназии
Стадион гимназии №1	Стадион гимназии №1
Стадион гимназии №12 (2008-2012)	Стадион гимназии №12 (2008-2012)
Стадион Гимназии №8	Стадион Гимназии №8
стадион Динамо	стадион Динамо
Стадион Жлобинского ГПЛ	Стадион Жлобинского ГПЛ
Стадион Зайца Евгения	Стадион Зайца Евгения
стадион Локомотив	стадион Локомотив
Стадион Локомотив	Стадион Локомотив
Стадион ОАО "КСМ"	Стадион ОАО "КСМ"
Стадион Приборской СШ	Стадион Приборской СШ
Стадион ПТУ-185	Стадион ПТУ-185
стадион СШ №1	стадион СШ №1
Стадион Сш№142	Стадион Сш№142
Стадион СШ №17	Стадион СШ №17
Стадион Сш №186	Стадион Сш №186
стадион СШ№2	стадион СШ№2
Стадион Сш №200	Стадион Сш №200
Стадион Сш №210	Стадион Сш №210
Стадион СШ №3	Стадион СШ №3
Стадион СШ №4	Стадион СШ №4
стадион СШ №45	стадион СШ №45
Стадион СШ№5	Стадион СШ№5
Стадион СШ№ 55	Стадион СШ№ 55
Стадион СШ№ 60	Стадион СШ№ 60
Стадион СШ №8	Стадион СШ №8
Стадион шк.№119 и шк.№97	Стадион шк.№119 и шк.№97
Стадион шк.№71	Стадион шк.№71
Стадион школы	Стадион школы
Стадион школы №19	Стадион школы №19
стадион Юность	стадион Юность
Теннисный корт	Теннисный корт
Торпедо	Торпедо
футбольная площадка	футбольная площадка
Футбольное поле	Футбольное поле
Футбольный манеж	Футбольный манеж
ХК "Юность-Минск"	ХК "Юность-Минск"
Цементник	Цементник
Центральный	Центральный
Центральный стадион	Центральный стадион
школьный	школьный
Школьный	Школьный
Юбилейный	Юбилейный
Юнасть	Юнасть
Юность	Юность
