from	to
104-й микрорайон	104-й микрорайон
15-й микрорайон	15-й микрорайон
18-й микрорайон	18-й микрорайон
19-й микрорайон	19-й микрорайон
20-й микрорайон	20-й микрорайон
21-й микрорайон	21-й микрорайон
5-й Коммунальный	5-й Коммунальный
Адамково	Адамково
Ангарская	Ангарская
Аркадия	Аркадия
Аэропорт	Аэропорт
Берёзовка	Берёзовка
Бернады	Бернады
Бобры	Бобры
Брилевичи	Брилевичи
Великий лес	Великий лес
Верхний город	Верхний город
Веснянка	Веснянка
Вишневка	Вишневка
Военный городок	Военный городок
Волынка	Волынка
Восток	Восток
Восток-1	Восток-1
Восток-2	Восток-2
Восток-3	Восток-3
Восток-4	Восток-4
Восток-5	Восток-5
Восток-6	Восток-6
Вулька-Подгородская	Вулька-Подгородская
Вычулки	Вычулки
Граевка	Граевка
Громы	Громы
Грушевка	Грушевка
Гуторовщина	Гуторовщина
Давыдовка	Давыдовка
Домбровка	Домбровка
Дражня	Дражня
ДСК	ДСК
Дубровка	Дубровка
Елаги	Елаги
Заводская	Заводская
Загорье	Загорье
Задвинье	Задвинье
Заднепровье	Заднепровье
Запад	Запад
Заполотье	Заполотье
Зелёная	Зелёная
Зелёный Городок	Зелёный Городок
Зеленый луг	Зеленый луг
Ипуть	Ипуть
Казимировка	Казимировка
Каменная Горка	Каменная Горка
Катин Бор	Катин Бор
Киевка	Киевка
Клины	Клины
Ковалева Лоза	Ковалева Лоза
Ковалёво	Ковалёво
Козловичи	Козловичи
Козьи горы	Козьи горы
Колос	Колос
Комсомольский район	Комсомольский район
Коровники	Коровники
Красный Бор	Красный Бор
Красный Двор	Красный Двор
Куландино	Куландино
Кунцевщина	Кунцевщина
Лесной район	Лесной район
Лестранхоз	Лестранхоз
Лозовка	Лозовка
Лошица	Лошица
Лысая Гора	Лысая Гора
Мазурино	Мазурино
Майская	Майская
Малиновка	Малиновка
Мариненко	Мариненко
Марковщина	Марковщина
Медвежино	Медвежино
Мельников Луг	Мельников Луг
микрорайон 20А	микрорайон 20А
микрорайон Билево	микрорайон Билево
микрорайон Билево-1	микрорайон Билево-1
микрорайон Билево-2	микрорайон Билево-2
микрорайон Билево-3	микрорайон Билево-3
микрорайон Бителёво	микрорайон Бителёво
микрорайон Бороники	микрорайон Бороники
микрорайон Васьковичи	микрорайон Васьковичи
микрорайон Васюты	микрорайон Васюты
микрорайон Восток	микрорайон Восток
микрорайон Журжево	микрорайон Журжево
микрорайон Лучёса	микрорайон Лучёса
микрорайон Медцентр	микрорайон Медцентр
микрорайон Мишково	микрорайон Мишково
микрорайон Орехово	микрорайон Орехово
микрорайон Себяхи	микрорайон Себяхи
микрорайон Тарный	микрорайон Тарный
микрорайон Тирасполь	микрорайон Тирасполь
микрорайон Тулово-1	микрорайон Тулово-1
микрорайон Улановичи	микрорайон Улановичи
микрорайон Фрунзе	микрорайон Фрунзе
микрорайон Химы-1	микрорайон Химы-1
микрорайон Химы-2	микрорайон Химы-2
микрорайон Шпили	микрорайон Шпили
микрорайон Юг-1	микрорайон Юг-1
микрорайон Юг-2	микрорайон Юг-2
микрорайон Юг-3	микрорайон Юг-3
микрорайон Юг-4	микрорайон Юг-4
микрорайон Юг-5	микрорайон Юг-5
микрорайон Юг-6	микрорайон Юг-6
микрорайон Юг-7	микрорайон Юг-7
микрорайон Юг-7А	микрорайон Юг-7А
Микрорайон №17	Микрорайон №17
Мир	Мир
Михайловка	Михайловка
Михалово	Михалово
Мицары	Мицары
Молодежный район	Молодежный район
Мощёнка	Мощёнка
Набережный район	Набережный район
Национальный аэропорт Минск	Национальный аэропорт Минск
Никрополье	Никрополье
Новая Жизнь	Новая Жизнь
Новая Мильча	Новая Мильча
Новинки	Новинки
Новка	Новка
Новые Задворцы	Новые Задворцы
Октябрьский район	Октябрьский район
Павловичи	Павловичи
Парковый район	Парковый район
Первомайский	Первомайский
Песковатик	Песковатик
Петровщина	Петровщина
Плоска	Плоска
Плянты	Плянты
Покровка	Покровка
Посёлок	Посёлок
поселок Колос	поселок Колос
промышленный узел "Колядичи"	промышленный узел "Колядичи"
Простоквашино	Простоквашино
Птушкофабрика	Птушкофабрика
Пугачёво	Пугачёво
Пятый полк	Пятый полк
Раковское предместье	Раковское предместье
Речица	Речица
Ржавец	Ржавец
Романовичи	Романовичи
Садовка	Садовка
Северный посёлок	Северный посёлок
Северный район	Северный район
Селивовщина	Селивовщина
Серебрянка	Серебрянка
Сокол	Сокол
Соколовка	Соколовка
Солнечный	Солнечный
Сосны	Сосны
Спасская Слобода	Спасская Слобода
Старые Задворцы	Старые Задворцы
Степянка	Степянка
Сухарево	Сухарево
Тришин	Тришин
Троицкое предместье	Троицкое предместье
Тулово-2	Тулово-2
Уручье	Уручье
Фруктовый	Фруктовый
Центр	Центр
Центральный район	Центральный район
Чапаево	Чапаево
Чепино	Чепино
Чижовка	Чижовка
Шабаны	Шабаны
Шахтерский район	Шахтерский район
Юбилейный	Юбилейный
Юго-Запад	Юго-Запад
Южный	Южный
Янополь	Янополь
