from	to
????	????
"Klistar Missijanerau" Troiki Kasciol	"Klistar Missijanerau" Troiki Kasciol
"Храм Преподобного Серафима Саровского"	"Храм Преподобного Серафима Саровского"
1-я церковь  адвентистов Седьмого дня	1-я церковь  адвентистов Седьмого дня
2-я церковь адвентистов Седьмого дня	2-я церковь адвентистов Седьмого дня
Baptiste Church	Baptiste Church
Church	Church
Cв. Ефросиниевская церк.	Cв. Ефросиниевская церк.
GEFSIMANY	GEFSIMANY
M	M
św. Jana Chrzciciela	św. Jana Chrzciciela
Water source Water Source	Water source Water Source
Адвентисты	Адвентисты
Административный корпус	Административный корпус
Адраджэнне	Адраджэнне
Алтарь-"корабль"	Алтарь-"корабль"
Архикафедральный собор Святого Имени Пресвятой Девы Марии	Архикафедральный собор Святого Имени Пресвятой Девы Марии
Благовещенский костел	Благовещенский костел
Благовещенский костёл	Благовещенский костёл
Благодать	Благодать
Большая Синагога	Большая Синагога
Борисоглебская церковь	Борисоглебская церковь
Взыскание погибших	Взыскание погибших
Витебское епархиальное управление	Витебское епархиальное управление
Вифания	Вифания
Вифлеем	Вифлеем
Вознесения Найсвятейшей девы Марии	Вознесения Найсвятейшей девы Марии
Войсковой Храм В Честь Преподобного Сергия Радонежского	Войсковой Храм В Честь Преподобного Сергия Радонежского
Воскресенская	Воскресенская
Воскресенский собор	Воскресенский собор
Воскресная школа МСЦ ЕХБ	Воскресная школа МСЦ ЕХБ
Германовичский костел	Германовичский костел
Гомельский мужской монастырь во имя святителя Николая Мирликийского Гомельской епархии	Гомельский мужской монастырь во имя святителя Николая Мирликийского Гомельской епархии
Гродненская синагога	Гродненская синагога
Гродненский Свято-Покровский кафедральный собор	Гродненский Свято-Покровский кафедральный собор
Детский лагерь "Христитанин"	Детский лагерь "Христитанин"
Дом Евангелия	Дом Евангелия
Дом культуры ЖД	Дом культуры ЖД
Дом Милосердия	Дом Милосердия
Дом молитвы	Дом молитвы
Евангельская церковь	Евангельская церковь
евангельская церковь "Возрождение"	евангельская церковь "Возрождение"
евангельская церковь "Добрая Весть"	евангельская церковь "Добрая Весть"
Евангельская церковь "Добрая весть"	Евангельская церковь "Добрая весть"
Евангельская церковь "Новая жизнь"	Евангельская церковь "Новая жизнь"
Ереминская провославная церковь	Ереминская провославная церковь
ЕХБ	ЕХБ
ЕХБ "Спасение"	ЕХБ "Спасение"
Женский Спасо-Евфросиниевский Монастырь	Женский Спасо-Евфросиниевский Монастырь
жилой корпус монастыря францисканцев	жилой корпус монастыря францисканцев
Иконы Божьей Матери	Иконы Божьей Матери
Иоанна Предтечи	Иоанна Предтечи
Казанская церковь	Казанская церковь
Казанскои Ьожей Матей	Казанскои Ьожей Матей
Казимировский Свято-Успенский женский монастырь	Казимировский Свято-Успенский женский монастырь
Кальвинский сбор	Кальвинский сбор
Каплица	Каплица
Каплица при церкви Св. Архангела Михаила	Каплица при церкви Св. Архангела Михаила
Каплица святого Роха	Каплица святого Роха
Каплица Святой Варвары	Каплица Святой Варвары
капліца	капліца
Кастёл	Кастёл
Кастёл Найсвяцейшай Панны Марыі	Кастёл Найсвяцейшай Панны Марыі
Касцёл Святога Мікалая	Касцёл Святога Мікалая
Касцёл Святога Яна Хрыстицеля	Касцёл Святога Яна Хрыстицеля
Катехетический дом Святого Иосифа	Катехетический дом Святого Иосифа
католическая часовня	католическая часовня
Католическая часовня	Католическая часовня
Католическая часовня (после 1990)	Католическая часовня (после 1990)
Католическая часовня (руины)	Католическая часовня (руины)
Католический костёл	Католический костёл
Католический культурный центр в Витебске. Резиденция епископа витебского	Католический культурный центр в Витебске. Резиденция епископа витебского
Кафедральный католический собор Иисуса Милосердного	Кафедральный католический собор Иисуса Милосердного
Кафедральный собор Рождества Богородицы	Кафедральный собор Рождества Богородицы
Кафедральный собор Святого Франциска Ксаверия	Кафедральный собор Святого Франциска Ксаверия
Кафедральный собор Сошествия Святого Духа	Кафедральный собор Сошествия Святого Духа
Кирха	Кирха
кладбище	кладбище
Кладбище	Кладбище
Колокольня	Колокольня
костел	костел
Костел	Костел
костёл	костёл
Костёл	Костёл
Костел, монастырь	Костел, монастырь
Костел /сохр. частично/	Костел /сохр. частично/
Костел (руины)	Костел (руины)
Костёл Антония Падуанского	Костёл Антония Падуанского
костел Благовещения Найсвятейшей девы Марии и монастырь (Бригитский костел и монастырь)	костел Благовещения Найсвятейшей девы Марии и монастырь (Бригитский костел и монастырь)
Костел Благовещенский	Костел Благовещенский
Костел Богоматери	Костел Богоматери
Костел Богоматери Руженцовой	Костел Богоматери Руженцовой
Костел Богоматери Руженцовой и св. Доминика	Костел Богоматери Руженцовой и св. Доминика
костёл Богоматери Фатимской	костёл Богоматери Фатимской
Костел Богоматери Шкаплерной	Костел Богоматери Шкаплерной
Костел Божьего Тела	Костел Божьего Тела
Костел Воздвижения Святого Креста	Костел Воздвижения Святого Креста
костел Вознесения Девы Марии	костел Вознесения Девы Марии
Костел Вознесения Девы Марии	Костел Вознесения Девы Марии
Костел Вознесения Девы Марии (руины)	Костел Вознесения Девы Марии (руины)
Костел Вознесения Найсв.Девы Марии, Нац. санктуарий	Костел Вознесения Найсв.Девы Марии, Нац. санктуарий
костел Вознесения найсвятейшей девы Марии	костел Вознесения найсвятейшей девы Марии
Костел Девы Марии	Костел Девы Марии
Костел Девы Марии (дерев.)	Костел Девы Марии (дерев.)
Костел Девы Марии Королевы (дерев.)	Костел Девы Марии Королевы (дерев.)
Костел иезуитов (фарный)	Костел иезуитов (фарный)
Костел Иоанна Крестителя. 1760г.	Костел Иоанна Крестителя. 1760г.
Костел Крестовоздвиженский	Костел Крестовоздвиженский
Костёл Крестовоздвиженский	Костёл Крестовоздвиженский
Костел Крестовоздвиженский (дерев.)	Костел Крестовоздвиженский (дерев.)
Костел Матери Божией Фотимской	Костел Матери Божией Фотимской
Костел Наисвятейшей Девы Марии Ласковой	Костел Наисвятейшей Девы Марии Ласковой
Костел Непорочного Зачатия	Костел Непорочного Зачатия
костел Непорочного Зачатия (старый)	костел Непорочного Зачатия (старый)
костел Непорочного Зачатия Девы Марии	костел Непорочного Зачатия Девы Марии
Костёл Николая-чудотворца	Костёл Николая-чудотворца
Костел Опеки Богоматери	Костел Опеки Богоматери
Костел Отыскания св. Креста	Костел Отыскания св. Креста
костел Отыскания Св.Креста и монастырь бернардинцев	костел Отыскания Св.Креста и монастырь бернардинцев
Костел Посещения Девой Марией Елизаветы (дерев.)	Костел Посещения Девой Марией Елизаветы (дерев.)
костел Посещения Пресвятой Девой Марией Елисаветы	костел Посещения Пресвятой Девой Марией Елисаветы
Костел Преображения Господнего	Костел Преображения Господнего
Костёл Пресвятого Сердца Иисуса	Костёл Пресвятого Сердца Иисуса
Костел Рождества Девы Марии	Костел Рождества Девы Марии
Костел Рождества Девы Марии (дерев.)	Костел Рождества Девы Марии (дерев.)
костёл Рождества Пресвятой Девы Марии	костёл Рождества Пресвятой Девы Марии
Костел св. Андрея Баболи (дерев.)	Костел св. Андрея Баболи (дерев.)
костел Св. Анны	костел Св. Анны
Костел св. Анны	Костел св. Анны
костел св.Антония Падуанского	костел св.Антония Падуанского
костел св. Антония Падуанского	костел св. Антония Падуанского
Костел св. апостола Андрея	Костел св. апостола Андрея
Костел св. апостола Якуба (Иакова)	Костел св. апостола Якуба (Иакова)
Костел св. Апостолов Петра и Павла	Костел св. Апостолов Петра и Павла
Костел св. Богоматери (Приход Рождества Пресвятой Девы Марии)	Костел св. Богоматери (Приход Рождества Пресвятой Девы Марии)
Костел Св. Валентина	Костел Св. Валентина
Костел св. Варвары	Костел св. Варвары
Костел св. Владислава	Костел св. Владислава
Костел св. Георгия	Костел св. Георгия
Костел св. Георгия (дерев.)	Костел св. Георгия (дерев.)
Костёл св.Доминика	Костёл св.Доминика
Костел св. Евфимии	Костел св. Евфимии
Костел св. Иоанна Крестителя	Костел св. Иоанна Крестителя
Костел Св. Иоанна Крестителя	Костел Св. Иоанна Крестителя
костел св. Иозафата Куцевича	костел св. Иозафата Куцевича
Костел св. Иосифа	Костел св. Иосифа
Костёл св. Иосифа	Костёл св. Иосифа
Костел св. Казимира	Костел св. Казимира
Костел св. Козьмы и Демьяна	Костел св. Козьмы и Демьяна
Костёл Св. Матвея	Костёл Св. Матвея
костел св. Михаила Архангела	костел св. Михаила Архангела
Костел св. Михаила Архангела	Костел св. Михаила Архангела
Костел св. Николая	Костел св. Николая
костел св. о.Пио	костел св. о.Пио
Костел св. Петра и Павла	Костел св. Петра и Павла
Костел Св. Петра И Павла	Костел Св. Петра И Павла
Костел св. Роха /сохр. фундамент/	Костел св. Роха /сохр. фундамент/
Костел св. Роха (дерев.)	Костел св. Роха (дерев.)
костёл св. Семьи	костёл св. Семьи
Костел св. Симеона и Тадеуша	Костел св. Симеона и Тадеуша
Костел св. Станислава	Костел св. Станислава
костёл св. Станислава	костёл св. Станислава
Костел св. Тадеуша	Костел св. Тадеуша
Костел св. Юрия	Костел св. Юрия
Костел св. Юрия (дерев.)	Костел св. Юрия (дерев.)
Костел святого Андрея Баболи	Костел святого Андрея Баболи
Костёл Святого Антония	Костёл Святого Антония
Костел Святого Антония Падуанского; Костел св. Антония (руины)	Костел Святого Антония Падуанского; Костел св. Антония (руины)
Костел Святого Архангела Михаила	Костел Святого Архангела Михаила
Костел Святого Архангела Михаила и кляштор цистерцианок	Костел Святого Архангела Михаила и кляштор цистерцианок
Костел святого Вацлава	Костел святого Вацлава
Костел Святого Иосифа	Костел Святого Иосифа
Костел Святого Казимира	Костел Святого Казимира
Костёл Святого Казимира	Костёл Святого Казимира
Костел Святого Михаила Архангела	Костел Святого Михаила Архангела
Костёл Святого Михаила Архангела	Костёл Святого Михаила Архангела
Костел святого Петра и Павла	Костел святого Петра и Павла
Костел Святого Петра и Павла	Костел Святого Петра и Павла
Костел Святого Сердца Иисуса	Костел Святого Сердца Иисуса
Костёл святого Симеона и святой Елены	Костёл святого Симеона и святой Елены
Костел Святой Анны	Костел Святой Анны
Костел Святой Триицы	Костел Святой Триицы
Костел Святой Троицы	Костел Святой Троицы
Костёл Святой Троицы	Костёл Святой Троицы
Костел Святой Троицы; Костел Троицкий	Костел Святой Троицы; Костел Троицкий
Костел Сердца Иисуса	Костел Сердца Иисуса
Костёл Сердца Иисуса	Костёл Сердца Иисуса
Костел Сердца Иисуса (дерев.)	Костел Сердца Иисуса (дерев.)
костел Троицкий	костел Троицкий
Костел Троицкий	Костел Троицкий
Костел Троицкий (дерев.)	Костел Троицкий (дерев.)
Костел Троицкий (св. Роха)	Костел Троицкий (св. Роха)
Костел Троицкий фарный /сохр. часть стены/	Костел Троицкий фарный /сохр. часть стены/
Костел Успения Пресвятой Девы Марии	Костел Успения Пресвятой Девы Марии
Костел Францисканцев	Костел Францисканцев
Костел францисканцев (руины)	Костел францисканцев (руины)
Крест	Крест
Крест на горе	Крест на горе
Крестовоздвиженская	Крестовоздвиженская
Крестовоздвиженская православная церковь	Крестовоздвиженская православная церковь
Крестовоздвиженский	Крестовоздвиженский
Крупецкой иконы Божьей Матери	Крупецкой иконы Божьей Матери
Кутеинский Монастырь	Кутеинский Монастырь
Лабовичский сельский клуб	Лабовичский сельский клуб
Лютеранская кирха святого Иоанна	Лютеранская кирха святого Иоанна
Мемориальная часовня-памятник погибшим в Афганистане	Мемориальная часовня-памятник погибшим в Афганистане
Место бывшего монастыря	Место бывшего монастыря
Мечеть	Мечеть
Милость Господня	Милость Господня
Минское епархиальное управление	Минское епархиальное управление
молитвенный дом	молитвенный дом
Молитвенный дом	Молитвенный дом
Молитвенный дом ВСЕХБ	Молитвенный дом ВСЕХБ
Молитвенный дом МСЦ ЕХБ	Молитвенный дом МСЦ ЕХБ
Молитвенный дом ЦИХСПД	Молитвенный дом ЦИХСПД
Монастырь	Монастырь
Монастырь бенедиктинок	Монастырь бенедиктинок
Монастырь бернардинцев	Монастырь бернардинцев
Монастырь бернардинцев - костел Троицкий	Монастырь бернардинцев - костел Троицкий
Монастырь На Лысой Горе	Монастырь На Лысой Горе
монастырь сестер-евхаристок	монастырь сестер-евхаристок
Монастырь францисканцев с парком	Монастырь францисканцев с парком
монашеская община сестёр-евхаристок	монашеская община сестёр-евхаристок
Надежда	Надежда
Нерукотворного образа Господня	Нерукотворного образа Господня
Никольская церковь	Никольская церковь
Новоапостольская Ц	Новоапостольская Ц
Новоапостольская церковь	Новоапостольская церковь
Новое кладбище	Новое кладбище
Ошторпов, XIX век	Ошторпов, XIX век
памятник Афганцам	памятник Афганцам
Памятник ВОВ	Памятник ВОВ
Памятник погибшей деревне	Памятник погибшей деревне
парафиальный дом	парафиальный дом
Парафия Святых апостолов Петра и Павла	Парафия Святых апостолов Петра и Павла
Пинский кафедральный собор	Пинский кафедральный собор
Плебания	Плебания
Подникольский монастырь	Подникольский монастырь
Покрова Пресвятой Богородицы	Покрова Пресвятой Богородицы
Покровская	Покровская
Покровская старобрядческая церковь	Покровская старобрядческая церковь
Православная церковь	Православная церковь
Православная церковь Параскевы Пятницкой	Православная церковь Параскевы Пятницкой
Православная церковь Пресвятой Богородицыю	Православная церковь Пресвятой Богородицыю
Православный женский монастырь	Православный женский монастырь
Православный приход Свято-Георгиевской церкви	Православный приход Свято-Георгиевской церкви
православный храм	православный храм
Православный храм	Православный храм
Православный храм Архистратига Божия Михаила	Православный храм Архистратига Божия Михаила
православный храм свят. Николая Чудотворца	православный храм свят. Николая Чудотворца
Приемная епископа Витебского. Храм преподобномученика Афанасия, игумена Брестского	Приемная епископа Витебского. Храм преподобномученика Афанасия, игумена Брестского
Приход	Приход
Приход во мя Св. прп. Серафима Саровского	Приход во мя Св. прп. Серафима Саровского
Приход костела Милосердия Божия	Приход костела Милосердия Божия
приход  мормонов	приход  мормонов
Приход Пресвятого Искупителя	Приход Пресвятого Искупителя
Приход св. Николая Японского	Приход св. Николая Японского
Приход свт. Николая Чудотворца	Приход свт. Николая Чудотворца
приход храма "Всех Святых"	приход храма "Всех Святых"
Приход храма Николая Чудотворца	Приход храма Николая Чудотворца
Приход Храма Христа Спасителя	Приход Храма Христа Спасителя
Развалины Синагоги	Развалины Синагоги
Римско-католический костел Святого Духа	Римско-католический костел Святого Духа
Римско-католический приход непорочного зачатия Пресв. Девы Мари	Римско-католический приход непорочного зачатия Пресв. Девы Мари
РО "Евангельская церковь"	РО "Евангельская церковь"
Рождество Христово	Рождество Христово
руины католической часовни	руины католической часовни
руины церкви	руины церкви
св. Георгия	св. Георгия
св. Николая	св. Николая
св. Николая Чудотворца	св. Николая Чудотворца
Св. Николая Чудотворца	Св. Николая Чудотворца
Святителя Николая	Святителя Николая
Свято Александра Невского Церковь	Свято Александра Невского Церковь
Свято-Александро-Невская Церковь	Свято-Александро-Невская Церковь
Свято-Афанасьевский мужской монастырь	Свято-Афанасьевский мужской монастырь
Свято-Богородицкая церковь	Свято-Богородицкая церковь
Свято-Борисо-Глебская Коложская церковь	Свято-Борисо-Глебская Коложская церковь
Свято-Владимирская православная церковь	Свято-Владимирская православная церковь
Свято-Владимирская церковь	Свято-Владимирская церковь
Свято-Вознесенская церковь пос. Ждановичи	Свято-Вознесенская церковь пос. Ждановичи
Свято-Воскресенская церковь	Свято-Воскресенская церковь
Свято-Георгиевская церковь	Свято-Георгиевская церковь
Свято-Георгиевская Церковь	Свято-Георгиевская Церковь
Свято-Георгиевский храм	Свято-Георгиевский храм
Святого князя Александра Невского	Святого князя Александра Невского
Свято-Духов женский монастырь	Свято-Духов женский монастырь
Свято-Духов храм	Свято-Духов храм
Свято-Елисаветинский монастырь	Свято-Елисаветинский монастырь
Свято-Зосимо-Савватиевский Велико-Кракотский мужской монастырь	Свято-Зосимо-Савватиевский Велико-Кракотский мужской монастырь
Свято-Иовлева церковь	Свято-Иовлева церковь
Свято-Крестовоздвиженский собор	Свято-Крестовоздвиженский собор
Свято-Михайловская	Свято-Михайловская
Свято-Михайловская Церковь	Свято-Михайловская Церковь
Свято-Михайловский Собор	Свято-Михайловский Собор
Свято-Никитинская церковь	Свято-Никитинская церковь
Свято-Николаевский кафедральный собор	Свято-Николаевский кафедральный собор
Свято-Николаевский собор	Свято-Николаевский собор
Свято-Николаевский храм	Свято-Николаевский храм
Святоникольская церковь	Святоникольская церковь
Свято-никольская церковь	Свято-никольская церковь
Свято-Никольская церковь	Свято-Никольская церковь
Свято-Никольский кафедральный собор	Свято-Никольский кафедральный собор
Свято Покровская церквь	Свято Покровская церквь
Свято-Покровская церковь	Свято-Покровская церковь
Свято-Покровский кафедральный собор	Свято-Покровский кафедральный собор
Свято-Рожбесмъа-Богоробичная церковъ	Свято-Рожбесмъа-Богоробичная церковъ
Свято-Рождество-Богородицкий Женский Монастырь	Свято-Рождество-Богородицкий Женский Монастырь
Свято-Симеоновский Собор	Свято-Симеоновский Собор
СВЯТО-СРЕТЕНСКАЯ ЦЕРКОВЬ	СВЯТО-СРЕТЕНСКАЯ ЦЕРКОВЬ
Свято-Троицкий собор	Свято-Троицкий собор
Свято-Троицкий храм	Свято-Троицкий храм
Свято-Успенская церковь	Свято-Успенская церковь
Свято-Успенский кафедральный собор	Свято-Успенский кафедральный собор
Свято-Успенский собор	Свято-Успенский собор
Свято-Успенский Ставропигиальный Мужской Монастырь 1470Г.	Свято-Успенский Ставропигиальный Мужской Монастырь 1470Г.
Свято-Успенский храм	Свято-Успенский храм
Свято Христо Рождества	Свято Христо Рождества
Священномученика Алексия Лельчицкого	Священномученика Алексия Лельчицкого
Сельсовет	Сельсовет
Сергия Радонежского Храм	Сергия Радонежского Храм
Синагога	Синагога
Синагога (дерев.)	Синагога (дерев.)
Синагога Главная	Синагога Главная
Синагога купеческая	Синагога купеческая
Собор	Собор
Собор Александра Невского	Собор Александра Невского
Собор Александра Невского (1884)	Собор Александра Невского (1884)
Собор во имя Св. Благоверного Кн. Александра Невского	Собор во имя Св. Благоверного Кн. Александра Невского
Собор кафедральный св. Михаила Архангела	Собор кафедральный св. Михаила Архангела
Собор Крестовоздвиженский	Собор Крестовоздвиженский
Собор Петра и Павла	Собор Петра и Павла
Собор Покровский	Собор Покровский
Собор св. Михаила Архангела (дерев.)	Собор св. Михаила Архангела (дерев.)
Софийский Собор	Софийский Собор
Спасо-Вознесенская церковь	Спасо-Вознесенская церковь
Спасо-Преображенская церковь	Спасо-Преображенская церковь
Спасо–Преображенская церковь	Спасо–Преображенская церковь
Спасо-Преображенский мужской монастырь	Спасо-Преображенский мужской монастырь
Спасо-Преображенский собор	Спасо-Преображенский собор
староверская Успенская церковь	староверская Успенская церковь
Старое кладбище "Пороховня"	Старое кладбище "Пороховня"
Старообрядческая деревянная церковь	Старообрядческая деревянная церковь
Старообрядческая Древлеправославная церковь Святителя Христова Николы	Старообрядческая Древлеправославная церковь Святителя Христова Николы
Старо-обрядческая церковь	Старо-обрядческая церковь
