from	to
"ProStore"	"ProStore"
"Алми"	"Алми"
"Детский Супермаркет"	"Детский Супермаркет"
"Дискаунтер ""Евроопт"""	Евроопт
"дискаунтер ""На надельку"""	На надельку
"Евроопт"	"Евроопт"
"Златка"	"Златка"
"Каравай"	"Каравай"
"магазин ""Верас"""	Верас
"Магазин ""Журавинка"""	Журавинка
"Мой ребёнок"	"Мой ребёнок"
"Народный"	"Народный"
"Рублёвский"	"Рублёвский"
"Супермаркет"	"Супермаркет"
"Супермаркет ""Вестер"""	Вестер
"Супермаркет ""Гиппо"""	Гиппо
"супермаркет ""Евроопт"""	Евроопт
"Супермаркет ""Евроопт"""	Евроопт
"Супермаркет ""Родны кут"""""	Родны кут
"Супермаркет ""Рублёвский"""	Рублёвский
"Торговый Центр ""БелМаркет"""	БелМаркет
"Торговый центр ""Веста"""	Веста
"Торговый центр ""Корона"""	Корона
"Торговый центр ""Фламинго"""	Фламинго
"ТЦ ""КОРОНА"""	Корона
"Универсам"	"Универсам"
"Универсам ""Родны кут"""	Родны кут
"Универсам ""Родны Кут"""	Родны кут
«ХХI век» - ночник	«ХХI век» - ночник
24 часа	24 часа
29	29
3 Желания	3 Желания
50 лет октября 46	50 лет октября 46
5 элемент	5 Элемент
5 Элемент	5 Элемент
Belmarket	Belmarket
Bigzz	Bigzz
CHICCO	CHICCO
Coolman	Coolman
Duty Free	Duty Free
Green	Green
MartInn	MART INN
MARTINN	MART INN
Mart Inn	MART INN
MART INN	MART INN
MART INN – 402	MART INN – 402
Maximus/Preston	Maximus/Preston
Preston	Preston
shop	shop
Sidis	Sidis
Simax	Simax
Sirius	Sirius
SL Market	SL Market
Supermarket	Supermarket
Valentina	Valentina
Авантмебель	Авантмебель
Азарэнне	Азарэнне
Айсберг	Айсберг
Алкогольный магазин	Алкогольный магазин
Алми	Алми
АЛМИ	АЛМИ
Арена Сити	Арена Сити
Асобiна	Асобiна
Ассорти 3	Ассорти 3
Атлант	Атлант
Базар	Базар
Базар низких цен	Базар низких цен
Балтика	Балтика
Беларусачка	Беларусачка
Беларусич	Беларусич
Белмаркет	Белмаркет
БелМаркет	БелМаркет
БЕЛМАРКЕТ	БЕЛМАРКЕТ
Белсаюздрук	Белсаюздрук
Белые Росы	Белые Росы
Березина	Березина
Березка	Березка
Березки	Березки
БиМарт	БиМарт
Брагинский	Брагинский
Брест	Брест
Буратино	Буратино
Буслик	Буслик
Быховский	Быховский
Верас	Верас
Верона	Верона
Веста	Веста
Веста №121	Веста №121
Веста №128	Веста №128
Веста № 140	Веста №140
Веста № 141	Веста №141
Веста № 142	Веста №142
Веста №144	Веста №144
Веста № 145	Веста №145
Веста № 147	Веста №147
Веста № 150	Веста №150
Веста № 153	Веста №153
Ветеран	Ветеран
Виталюр	Виталюр
Витебск	Витебск
Вкусный домик	Вкусный домик
Волгоград	Волгоград
Волотовской	Волотовской
Восток	Восток
Вояж	Вояж
ВСТРЕЧА	ВСТРЕЧА
Гайна	Гайна
Ганна	Ганна
Гаспадар	Гаспадар
Гастинец	Гастинец
Гастроном	Гастроном
Гермес	Гермес
гипермаркет «ГИППО»	Гиппо
Гипермаркет Prostore	ProStore
Гипермаркет ProStore	ProStore
Гипермаркет Prostore (9-24)	ProStore
Гипермаркет Евроопт	Евроопт
Гиппо	Гиппо
ГИППО	Гиппо
ГУМ	ГУМ
Гуртовня	Гуртовня
Давыдовский рынок	Давыдовский рынок
Дары о зари	Дары о зари
Детский мир	Детский мир
Дивный	Дивный
Дионис	Дионис
Дискаунтер	Дискаунтер
Дискаунтер "Евроопт"	Дискаунтер "Евроопт"
дискаунтер "На надельку"	дискаунтер "На надельку"
Дискаунтер Евроопт	Евроопт
Дисконт	Дисконт
Дисконт-2	Дисконт-2
Днепровский	Днепровский
Добраном	Добраном
Доброном	Доброном
Доброном (бывший Гермес)	Доброном (бывший Гермес)
Доктор Дог	Доктор Дог
Домашний	Домашний
Домовой	Домовой
Дом торговли	Дом торговли
Дом торговли "Мозырь"	Дом торговли "Мозырь"
ДорОрс	ДорОрс
Дружба	Дружба
евроопт	Евроопт
Евроопт	Евроопт
ЕВРООПТ	Евроопт
Евроопт +++	Евроопт
Журавушка	Журавушка
Закрама	Закрама
ЗАО "Зорина"	ЗАО "Зорина"
Западный	Западный
Западный рынок	Западный рынок
Заходний	Заходний
Зеленый клен	Зеленый клен
Златка	Златка
Золотой Десяток	Золотой Десяток
Зорина	Зорина
Ивушка	Ивушка
Камелия	Камелия
Камыш	Камыш
Квартал	Квартал
Киоск	Киоск
Кирмаш	Кирмаш
Китайские продукты	Китайские продукты
Классические вина	Классические вина
Кольцо	Кольцо
Компьютеры	Компьютеры
Континент	Континент
Копеечка	Копеечка
Корженевский	Корженевский
Корзинка	Корзинка
Корона	Корона
Космос	Космос
Крама	Крама
Криница	Криница
Крыница	Крыница
КСП-маркет	КСП-маркет
Кулинария	Кулинария
Лотос	Лотос
Люкс	Люкс
магазин	магазин
Магазин	Магазин
МАГАЗИН	МАГАЗИН
магазин "Верас"	магазин "Верас"
магазин" Восток"	магазин" Восток"
Магазин "Горячий хлеб"	Магазин "Горячий хлеб"
Магазин "Для Вас"	Магазин "Для Вас"
Магазин "Журавинка"	Магазин "Журавинка"
Магазин "Надежда"	Магазин "Надежда"
Магазин "Ноев Ковчег"	Магазин "Ноев Ковчег"
Магазин "Прибужье"	Магазин "Прибужье"
Магазин "Светлячок"	Магазин "Светлячок"
Магазин "Третий континент"	Магазин "Третий континент"
Магазин 8-23	Магазин 8-23
Магазин Аметист	Магазин Аметист
Магазин Дионис	Магазин Дионис
Магазин Дружба-2	Магазин Дружба-2
Магазин Друть	Магазин Друть
Магазин керамической плитки "Экскалибур"	Магазин керамической плитки "Экскалибур"
Магазин продукты	Магазин продукты
Магазин продукты (9-21)	Магазин продукты (9-21)
Магазин разливного пива "Барон"	Магазин разливного пива "Барон"
Магазин Райпо	Магазин Райпо
Магазин Юнность	Магазин Юнность
Магазин № 36 УП Заводской РПТ	Магазин № 36 УП Заводской РПТ
Магазин №45 "Спектр"	Магазин №45 "Спектр"
Магазин №47	Магазин №47
Магазин № 52 УП Заводской РПТ	Магазин № 52 УП Заводской РПТ
Мартин	MART INN
Мастер	Мастер
Масюковщина	Масюковщина
Мебель 12Д	Мебель 12Д
Меридиан	Меридиан
Металлург	Металлург
Микс	Микс
Мила	Мила
мини Евроопт	Евроопт
Минимаг	Минимаг
Минский	Минский
Мир Игрушек	Мир Игрушек
Могилевский	Могилевский
Могилевский, Бар "Добрые мысли"	Могилевский, Бар "Добрые мысли"
Московский минирынок	Московский минирынок
Надежда	Надежда
Народный	Народный
На Ростанях	На Ростанях
На Уманской	На Уманской
Наш магазин	Наш магазин
Невель	Невель
Немига-Фаворит	Немига-Фаворит
Нива	Нива
Ника-2	Ника-2
Новый континент	Новый континент
Околица	Околица
Особино	Особино
Особый	Особый
Охотский	Охотский
Павлинка	Павлинка
Палас	Палас
Палессе	Палессе
Папа Карло	Папа Карло
Парничок 8	Парничок №8
Парничок №6	Парничок №6
Первомайский	Первомайский
Перекрёсток	Перекрёсток
ПИВО	ПИВО
Пинскдрев	Пинскдрев
Пинскдревс	Пинскдревс
Полевой	Полевой
Престон маркет	Престон маркет
Приозёрный	Приозёрный
Продвильнюс	Продвильнюс
Продмир	Продмир
Прод сервис	Прод сервис
Продтовары 2	Продтовары 2
Продтовары №7	Продтовары №7
продуктовый	продуктовый
Продуктовый магазин (8-22)	Продуктовый магазин (8-22)
продукты	продукты
Продукты	Продукты
Радзивилловский	Радзивиловский
Радзивиловский	Радзивиловский
Радуга	Радуга
Радуга Гурман	Радуга Гурман
РАЙПО	РАЙПО
Раница	Раница
Рассвет	Рассвет
Родная сторона	Родная сторона
Родная Сторона	Родная Сторона
Родная Сторона плюс; Юбилейный 92	Родная Сторона плюс; Юбилейный 92
Родный кут	Родный кут
Родны кут	Родны кут
Родны Кут	Родны кут
Рублевский	Рублёвский
Рублёвский	Рублёвский
Рублевский №1	Рублёвский №1
Рублевский №16	Рублёвский №16
Рублёвский № 2	Рублёвский №2
Рублевский №3	Рублёвский №3
Рублевский №9	Рублёвский №9
Рублевский №95	Рублёвский №95
Рыбокомплекс	Рыбокомплекс
рынок	рынок
Рынок	Рынок
Савушка	Савушка
Санта-29	Санта-29
Санта Бремор	Санта Бремор
Свежый ХЛЕБ	Свежый ХЛЕБ
Светлячок	Светлячок
Свислочь	Свислочь
Северный	Северный
Сельпо	Сельпо
Сельские лакомства	Сельские лакомства
Серпантина	Серпантина
Силуэт	Силуэт
Сити центр Елена	Сити центр Елена
Славянский	Славянский
Смак	Смак
СООО «Стецкевич-спецодежда»	СООО «Стецкевич-спецодежда»
Соседи	Соседи
Соседи (8-23)	Соседи (8-23)
Спутник	Спутник
Старый универмаг	Старый универмаг
Стольный	Стольный
Строительный дом ОМА	ОМА
Строительный супермаркет ОМА	Строительный супермаркет ОМА
стройматериалы	стройматериалы
Стройматериалы и инструменты	Стройматериалы и инструменты
Ступеньки	Ступеньки
Сузорье	Сузорье
Сундучок	Сундучок
Супермаркет	Супермаркет
Супермаркет 'Кленковский'	Супермаркет 'Кленковский'
Супермаркет "Бережье"	Супермаркет "Бережье"
Супермаркет "Вестер"	Супермаркет "Вестер"
Супермаркет "Гиппо"	Супермаркет "Гиппо"
супермаркет "Евроопт"	супермаркет "Евроопт"
Супермаркет "Евроопт"	Супермаркет "Евроопт"
Супермаркет "Родны кут""	Супермаркет "Родны кут""
Супермаркет "Рублёвский"	Супермаркет "Рублёвский"
Суперпрод	Суперпрод
Сухаревский	Сухаревский
СэкондХенд	СэкондХенд
Сякерыцкая крама	Сякерыцкая крама
Тарговы цэнтр	Тарговы цэнтр
Татьяна	Татьяна
ТД Ландыш	ТД Ландыш
ТД Некрасовский	ТД Некрасовский
Техносервис плюс	Техносервис плюс
Топ	Топ
Торговый дом "Неман"	Торговый дом "Неман"
Торговый дом "Энергетик"	Торговый дом "Энергетик"
Торговый павильон "Даяна"	Торговый павильон "Даяна"
Торговый ряд	Торговый ряд
Торговый центр	Торговый центр
Торговый Центр	Торговый Центр
Торговый Центр "БелМаркет"	Торговый Центр "БелМаркет"
Торговый центр "Веста"	Торговый центр "Веста"
Торговый центр "Корона"	Торговый центр "Корона"
Торговый центр "Фламинго"	Торговый центр "Фламинго"
Торговый центр All	All
Торговый центр Арт	Торговый центр Арт
Тоскана	Тоскана
Тракторозаводской универсам	Тракторозаводской универсам
Третий континент	Третий континент
Три О	Три О
Тройка	Тройка
Трофей	Трофей
ТРЦ «Мега»	ТРЦ «Мега»
ТЦ 'БЕЛМАРКЕТ'	Белмаркет
ТЦ "Бонус"	ТЦ "Бонус"
ТЦ "Вестор"	ТЦ "Вестор"
ТЦ "Віталіч"	ТЦ "Віталіч"
ТЦ "Замок"	ТЦ "Замок"
ТЦ "Квадро"	ТЦ "Квадро"
ТЦ "КОРОНА"	ТЦ "КОРОНА"
ТЦ "Логойский Пассаж"	ТЦ "Логойский Пассаж"
ТЦ "Потсдам"	ТЦ "Потсдам"
ТЦ «Кирмаш»	ТЦ «Кирмаш»
ТЦ «Ника»	ТЦ «Ника»
ТЦ «Титан»	ТЦ «Титан»
ТЦ Галерея	ТЦ Галерея
ТЦ Караван	ТЦ Караван
ТЦ Монолит	ТЦ Монолит
ТЦ Престиж	ТЦ Престиж
ТЦ Тройка	ТЦ Тройка
Удобный	Удобный
универмаг	универмаг
Универмаг	Универмаг
УНИВЕРМАГ	УНИВЕРМАГ
универмаг Партнер	универмаг Партнер
Универсальная База ЧТУП Гомельского Облпотребсоюза	Универсальная База ЧТУП Гомельского Облпотребсоюза
универсам	универсам
Универсам	Универсам
Универсам "Зелёный клён"	Универсам "Зелёный клён"
Универсам "Кунцевщина"	Универсам "Кунцевщина"
Универсам "Петровский"	Универсам "Петровский"
Универсам "Родны кут"	Универсам "Родны кут"
Универсам "Родны Кут"	Универсам "Родны Кут"
Универсам "Сельмашевский"	Универсам "Сельмашевский"
Универсам «Замкавы»	Универсам «Замкавы»
Универсам «Рублёвский» №126	Рублёвский №126
Универсам Байкальский	Универсам Байкальский
Универсам Вилия	Универсам Вилия
универсам Западный	универсам Западный
Универсам на АЗС	Универсам на АЗС
универсам Облторгсоюза	универсам Облторгсоюза
универсам Северный	универсам Северный
Универсам центральный	Универсам центральный
Универсам Центральный	Универсам Центральный
Универсам №2	Универсам №2
Фабрика здоровья	Фабрика здоровья
Фирюза	Фирюза
Франикс	Франикс
Хозмагазин	Хозмагазин
Хозтовары	Хозтовары
Хозяйственный магазин	Хозяйственный магазин
Центр	Центр
Центральный	Центральный
Центральный м-н	Центральный м-н
Центральный рынок	Центральный рынок
Центрум	Центрум
Цум	ЦУМ
Черниговский	Черниговский
Чкаловский	Чкаловский
Шалом	Шалом
Шамовский	Шамовский
ШАНС	ШАНС
Школьник	Школьник
Щетовка	Щетовка
Эдэм	Эдэм
ЭкономМаг	ЭкономМаг
ЭкономМаркет	ЭкономМаркет
ЭкономЪ	ЭкономЪ
Юбилейный	Юбилейный
№58	№58
