from	to
Автозаводская	Автозаводская
Академия наук	Академия наук
Академия Наук	Академия наук
Борисовский тракт	Борисовский тракт
Восток	Восток
Грушевка	Грушевка
Институт культуры	Институт культуры
Институт Культуры	Институт культуры
Каменная Горка	Каменная Горка
Кунцевщина	Кунцевщина
Купаловская	Купаловская
Малиновка	Малиновка
Михалово	Михалово
Могилёвская	Могилёвская
Молодежная	Молодёжная
Молодёжная	Молодёжная
Московская	Московская
Немига	Немига
Октябрьская	Октябрьская
Октябрьская/Купаловская	Октябрьская/Купаловская
парк Челюскинцев	Парк Челюскинцев
Парк Челюскинцев	Парк Челюскинцев
Партизанская	Партизанская
Первомайская	Первомайская
Петровщина	Петровщина
площадь Ленина	Площадь Ленина
Площадь Ленина	Площадь Ленина
площадь Победы	Площадь Победы
площадь Якуба Коласа	Площадь Якуба Коласа
Пролетарская	Пролетарская
Пушкинская	Пушкинская
Спортивная	Спортивная
Тракторный завод	Тракторный завод
Уручье	Уручье
Фрунзенская	Фрунзенская
