from	to
"Бомбочка"	"Бомбочка"
"Солдатское озеро"	"Солдатское озеро"
17-ы кар'ер	17-ы кар'ер
9-ый карьер	9-ый карьер
ež. Apvardai	ež. Apvardai
ež. Drūkšiai	ež. Drūkšiai
ež. Giliūtas	ež. Giliūtas
Iмшарац	Iмшарац
Jezioro Szlamy	Jezioro Szlamy
No name	No name
Prūto ež./Прутас	Prūto ež./Прутас
Riču ezers	Riču ezers
Šolama kopanka	Šolama kopanka
АБЗ	АБЗ
Абрамовщина	Абрамовщина
Адаменка	Адаменка
Адамово озеро	Адамово озеро
Адворенское озеро	Адворенское озеро
Адреница	Адреница
Адров	Адров
Азерко	Азерко
Акунёк	Акунёк
Альбеневское	Альбеневское
Альбертинское	Альбертинское
Альбинское	Альбинское
Амежа	Амежа
Антозеро	Антозеро
Антонов	Антонов
Артезианская скважина	Артезианская скважина
Асалода	Асалода
Ахвенец	Ахвенец
Ашурково	Ашурково
Аэропортовское озеро	Аэропортовское озеро
Бабча	Бабча
Бабыно	Бабыно
Бабье	Бабье
Бакиново	Бакиново
Баклаха	Баклаха
Балдук	Балдук
Балдучыца	Балдучыца
Бам	Бам
Бамовское озеро	Бамовское озеро
Баранское	Баранское
Барковщина	Барковщина
Басейн	Басейн
Басины	Басины
Баяницкое	Баяницкое
Беглец	Беглец
Бездонка	Бездонка
Бездонное	Бездонное
Безодница	Безодница
Безымянное	Безымянное
Беленец	Беленец
Беленок	Беленок
Белибинец	Белибинец
Белоголовое	Белоголовое
Белогорское	Белогорское
Белое	Белое
Белое озеро	Белое озеро
Белоножка	Белоножка
Белый Берег	Белый Берег
Бельки	Бельки
Бельское	Бельское
Беляны	Беляны
Беляшка	Беляшка
Бергут	Бергут
Бережа	Бережа
Береже	Береже
Березина	Березина
Березинец	Березинец
Березино	Березино
Березица	Березица
Берёзовка	Берёзовка
Берёзовое	Берёзовое
Березовское	Березовское
Берёзовское	Берёзовское
Береща	Береща
Берца	Берца
Берштовское	Берштовское
Беседь	Беседь
Бецкое	Бецкое
Бируце	Бируце
Ближнее	Ближнее
Близница	Близница
Блудное	Блудное
Бобр	Бобр
Бобрик	Бобрик
Бобровичское	Бобровичское
Боброво	Боброво
Бобровское Озеро	Бобровское Озеро
Бобруйковское	Бобруйковское
Богатыревка	Богатыревка
Богдановское	Богдановское
Богинское	Богинское
Божье око	Божье око
Бол.Засоминое	Бол.Засоминое
Бол.Сурвилишки	Бол.Сурвилишки
Болныря	Болныря
болото	болото
Болото	Болото
Большая	Большая
Большая Бороница	Большая Бороница
Большие Плотки	Большие Плотки
Большие Сои	Большие Сои
Большие Швакшты	Большие Швакшты
Большое	Большое
Большое Исно	Большое Исно
Большое Святое	Большое Святое
Большое Уклейно	Большое Уклейно
Большое Язно	Большое Язно
Большой Беленок	Большой Беленок
Большой Супонец	Большой Супонец
Большуха	Большуха
Болютское	Болютское
Бор	Бор
Борвинок	Борвинок
Борек	Борек
Борки	Борки
Борковское	Борковское
Боровенок	Боровенок
Боровно	Боровно
Боровое	Боровое
Бохнава	Бохнава
Бочевец	Бочевец
Бочево	Бочево
Бочка	Бочка
Боярское	Боярское
Братовно	Братовно
Бредно	Бредно
Бритень	Бритень
Бровное	Бровное
Бродно	Бродно
Бросты	Бросты
Буже	Буже
Бульбиновское	Бульбиновское
Буцкое	Буцкое
Бык	Бык
Быково	Быково
Вiльчынiя	Вiльчынiя
Важа	Важа
Вальковское	Вальковское
Вархамеево	Вархамеево
Василек	Василек
Васьковское	Васьковское
Вдовое	Вдовое
вдхр. Дрозды	вдхр. Дрозды
вдхр. Криница	вдхр. Криница
вдхр. Михайловское	вдхр. Михайловское
вдхр. Тулово	вдхр. Тулово
Ведето	Ведето
Ведреньское	Ведреньское
Велец	Велец
Велижье	Велижье
Велижья	Велижья
Великие Окуничи	Великие Окуничи
Великий Киловец	Великий Киловец
Великоавцюковское	Великоавцюковское
Великое	Великое
Велута	Велута
Велье	Велье
Вёнзовец	Вёнзовец
Венок	Венок
Вепраты	Вепраты
Вепринка	Вепринка
Веретейское	Веретейское
Верино	Верино
Веровское	Веровское
Верхнее	Верхнее
Верхнее невицкое	Верхнее невицкое
Верхнее озеро	Верхнее озеро
Весна	Весна
Ветченское	Ветченское
Вечелье	Вечелье
Вечера	Вечера
Вечица	Вечица
Визжар вдхр.	Визжар вдхр.
Вилейское	Вилейское
Вилия	Вилия
Вирвиха	Вирвиха
Висяты	Висяты
Витаво	Витаво
Вихра	Вихра
Вишневское	Вишневское
Вовцельно	Вовцельно
вода	вода
Водахранилище Боровец	Водахранилище Боровец
водоем	водоем
Водоем	Водоем
водоём	водоём
Водоём	Водоём
Водоотводящий канал	Водоотводящий канал
Водоподводящий канал	Водоподводящий канал
водохранилище	водохранилище
Водохранилище	Водохранилище
Водохранилище на реке Ведьма	Водохранилище на реке Ведьма
водохранилище Оброво	водохранилище Оброво
Войлоч	Войлоч
Вокнище	Вокнище
Волоба	Волоба
Волово	Волово
Воложино	Воложино
Волозево	Волозево
Волока	Волока
Волчковичское вдхр.	Волчковичское вдхр.
Волчье Ухо	Волчье Ухо
Волынец	Волынец
Воробьи	Воробьи
Воронец	Воронец
Вороновское озеро	Вороновское озеро
Воронь	Воронь
Вульковское	Вульковское
Вшивец	Вшивец
Вывежек	Вывежек
Выгода	Выгода
Выгоновское	Выгоновское
Выгорка	Выгорка
Выжер	Выжер
Вылазское	Вылазское
Вырвина	Вырвина
Вырвино	Вырвино
Высокое	Высокое
Вьюры	Вьюры
Вялiкi Больцык	Вялiкi Больцык
Вяхово	Вяхово
Вяча	Вяча
Гать	Гать
Гвоздовское	Гвоздовское
Гиньково	Гиньково
Глинец	Глинец
Глиницкое	Глиницкое
Глодово	Глодово
Глубелька	Глубелька
Глубля	Глубля
Глубовщина	Глубовщина
Глубокое	Глубокое
Глубокое-Струново	Глубокое-Струново
Глубочино	Глубочино
Глубочко	Глубочко
Глухое	Глухое
Глушец	Глушец
Глыба	Глыба
Глыбочено	Глыбочено
Глыбочка	Глыбочка
Гнездное	Гнездное
Гнилое	Гнилое
Гогол	Гогол
Гоголец	Гоголец
Голбея	Голбея
Головец	Головец
Головня	Головня
Голубино	Голубино
Голубое	Голубое
Гомель	Гомель
Горанское	Горанское
Горелое	Горелое
Горецкое	Горецкое
Горки	Горки
Городенец	Городенец
Городенецкое	Городенецкое
Городищенское	Городищенское
Городно	Городно
Городское	Городское
городское озеро	городское озеро
Городское озеро	Городское озеро
