<null>	<null>
Aktica	Aktica
Balbata	Balbata
Baltoji Ančia	Baltoji Ančia
Birvėta	Birvėta
Bug	Bug
Bug / Західний Буг	Bug / Західний Буг
Czarna Hańcza	Czarna Hańcza
Czyżówka	Czyżówka
Daugava	Daugava
Dysna	Dysna
Hwoźna	Hwoźna
Kamaja	Kamaja
Kanal Schewnaja	Kanal Schewnaja
Krzna	Krzna
Kusenka	Kusenka
Leśna Prawa	Leśna Prawa
Losośna	Losośna
Merkys	Merkys
Narewka	Narewka
Nemunas	Nemunas
Neris	Neris
Šalčia	Šalčia
Šalčia/Шальчя	Šalčia/Шальчя
Šalčykščia	Šalčykščia
Seina	Seina
Szlamica	Szlamica
Włodawka	Włodawka
Абрамовщина	Абрамовщина
Авчеса	Авчеса
Адаменка	Адаменка
Адров	Адров
Актица	Актица
Аржаница	Аржаница
Ария	Ария
Артисловка	Артисловка
Аута	Аута
Бабенка	Бабенка
Байна	Байна
Балазна	Балазна
Балванка	Балванка
Барагинка	Барагинка
Басинка	Басинка
Бася	Бася
БАСЯ	БАСЯ
Батывля	Батывля
Бедрица	Бедрица
Бежица	Бежица
Безунья	Безунья
Бел. Натопа	Бел. Натопа
Белава	Белава
Белая	Белая
Белица	Белица
Беличанка	Беличанка
Беляевка	Беляевка
Белянка	Белянка
Бенка	Бенка
Бервенка	Бервенка
Береза	Береза
Березина	Березина
Березка	Березка
Берёзка	Берёзка
Березовка	Березовка
Берёзовка	Берёзовка
Берестовичанка	Берестовичанка
Береща	Береща
Берлянка	Берлянка
Берновка	Берновка
Беседь	Беседь
Бикложа	Бикложа
Бирвета	Бирвета
Блудыня	Блудыня
Блюшка	Блюшка
Бобр	Бобр
Бобрик	Бобрик
Бобровка	Бобровка
Бобруйка	Бобруйка
Бол. Вязанка	Бол. Вязанка
Бол. Перекоп	Бол. Перекоп
Болгач	Болгач
Болоновка	Болоновка
Болотниця	Болотниця
Болочанка	Болочанка
Болошинка	Болошинка
Большая Лебедка	Большая Лебедка
Боровка	Боровка
Ботча	Ботча
Боярка	Боярка
Брагинка	Брагинка
Бродня	Бродня
Брожка	Брожка
Брусса	Брусса
Бруськая	Бруськая
Брусята	Брусята
Брыжовка	Брыжовка
Буг/Bug	Буг/Bug
Будлянка	Будлянка
Будовесть	Будовесть
Будовица	Будовица
Бузянка	Бузянка
Булла	Булла
Булянка	Булянка
Бурчак	Бурчак
Бусль	Бусль
Бусяж	Бусяж
Быковка	Быковка
Быстрая	Быстрая
Бычок	Бычок
Бяла	Бяла
Вабич	Вабич
Вавюрка	Вавюрка
Вароница	Вароница
Вдова	Вдова
Ведерка	Ведерка
Ведерня	Ведерня
Ведетица	Ведетица
Ведрич	Ведрич
Ведровка	Ведровка
Ведьма	Ведьма
Велижка	Велижка
Великая	Великая
Вельница	Вельница
Вепринка	Вепринка
Вербовка	Вербовка
Вередавка	Вередавка
Веренка	Веренка
Вересожка	Вересожка
Веретейка	Веретейка
Вержа	Вержа
Вержболовка	Вержболовка
